ConfidenceRecord,PaymentRecord,NameConfidence,AmountConfidence,max,min
urn:cite:phoros:conflevel.1,urn:cite:phoros:payrec.1,Restored,Confident,100,40 
urn:cite:phoros:conflevel.2,urn:cite:phoros:payrec.2,Restored,Restored,100,4
urn:cite:phoros:conflevel.3,urn:cite:phoros:payrec.3,Restored,Restpred,100,2
urn:cite:phoros:conflevel.4,urn:cite:phoros:payrec.4,,,,
urn:cite:phoros:conflevel.5,urn:cite:phoros:payrec.5,,,,
urn:cite:phoros:conflevel.6,urn:cite:phoros:payrec.6,,,,
urn:cite:phoros:conflevel.7,urn:cite:phoros:payrec.7,,,,
urn:cite:phoros:conflevel.8,urn:cite:phoros:payrec.8,,,,
urn:cite:phoros:conflevel.9,urn:cite:phoros:payrec.9,,,,
urn:cite:phoros:conflevel.10,urn:cite:phoros:payrec.10,,,,
urn:cite:phoros:conflevel.11,urn:cite:phoros:payrec.11,,,,
urn:cite:phoros:conflevel.12,urn:cite:phoros:payrec.12,,,,
urn:cite:phoros:conflevel.13,urn:cite:phoros:payrec.13,,,,
urn:cite:phoros:conflevel.14,urn:cite:phoros:payrec.14,,,,
urn:cite:phoros:conflevel.15,urn:cite:phoros:payrec.15,,,,
urn:cite:phoros:conflevel.16,urn:cite:phoros:payrec.16,,,,
urn:cite:phoros:conflevel.17,urn:cite:phoros:payrec.17,,,,
urn:cite:phoros:conflevel.18,urn:cite:phoros:payrec.18,,,,
urn:cite:phoros:conflevel.19,urn:cite:phoros:payrec.19,,,,
urn:cite:phoros:conflevel.20,urn:cite:phoros:payrec.20,,,,
urn:cite:phoros:conflevel.21,urn:cite:phoros:payrec.21,,,,
urn:cite:phoros:conflevel.22,urn:cite:phoros:payrec.22,,,,
urn:cite:phoros:conflevel.23,urn:cite:phoros:payrec.23,,,,
urn:cite:phoros:conflevel.24,urn:cite:phoros:payrec.24,,,,
urn:cite:phoros:conflevel.25,urn:cite:phoros:payrec.25,,,,
urn:cite:phoros:conflevel.26,urn:cite:phoros:payrec.26,,,,
urn:cite:phoros:conflevel.27,urn:cite:phoros:payrec.27,,,,
urn:cite:phoros:conflevel.28,urn:cite:phoros:payrec.28,,,,
urn:cite:phoros:conflevel.29,urn:cite:phoros:payrec.29,,,,
urn:cite:phoros:conflevel.30,urn:cite:phoros:payrec.30,,,,
urn:cite:phoros:conflevel.31,urn:cite:phoros:payrec.31,,,,
urn:cite:phoros:conflevel.32,urn:cite:phoros:payrec.32,,,,
urn:cite:phoros:conflevel.33,urn:cite:phoros:payrec.33,,,,
urn:cite:phoros:conflevel.34,urn:cite:phoros:payrec.34,,,,
urn:cite:phoros:conflevel.35,urn:cite:phoros:payrec.35,,,,
urn:cite:phoros:conflevel.36,urn:cite:phoros:payrec.36,,,,
urn:cite:phoros:conflevel.37,urn:cite:phoros:payrec.37,,,,
urn:cite:phoros:conflevel.38,urn:cite:phoros:payrec.38,,,,
urn:cite:phoros:conflevel.39,urn:cite:phoros:payrec.39,,,,
urn:cite:phoros:conflevel.40,urn:cite:phoros:payrec.40,,,,
urn:cite:phoros:conflevel.41,urn:cite:phoros:payrec.41,,,,
urn:cite:phoros:conflevel.42,urn:cite:phoros:payrec.42,,,,
urn:cite:phoros:conflevel.43,urn:cite:phoros:payrec.43,,,,
urn:cite:phoros:conflevel.44,urn:cite:phoros:payrec.44,,,,
urn:cite:phoros:conflevel.45,urn:cite:phoros:payrec.45,,,,
urn:cite:phoros:conflevel.46,urn:cite:phoros:payrec.46,,,,
urn:cite:phoros:conflevel.47,urn:cite:phoros:payrec.47,,,,
urn:cite:phoros:conflevel.48,urn:cite:phoros:payrec.48,,,,
urn:cite:phoros:conflevel.49,urn:cite:phoros:payrec.49,,,,
urn:cite:phoros:conflevel.50,urn:cite:phoros:payrec.50,,,,
urn:cite:phoros:conflevel.51,urn:cite:phoros:payrec.51,,,,
urn:cite:phoros:conflevel.52,urn:cite:phoros:payrec.52,,,,
urn:cite:phoros:conflevel.53,urn:cite:phoros:payrec.53,,,,
urn:cite:phoros:conflevel.54,urn:cite:phoros:payrec.54,,,,
urn:cite:phoros:conflevel.55,urn:cite:phoros:payrec.55,,,,
urn:cite:phoros:conflevel.56,urn:cite:phoros:payrec.56,,,,
urn:cite:phoros:conflevel.57,urn:cite:phoros:payrec.57,,,,
urn:cite:phoros:conflevel.58,urn:cite:phoros:payrec.58,,,,
urn:cite:phoros:conflevel.59,urn:cite:phoros:payrec.59,,,,
urn:cite:phoros:conflevel.60,urn:cite:phoros:payrec.60,,,,
urn:cite:phoros:conflevel.61,urn:cite:phoros:payrec.61,,,,
urn:cite:phoros:conflevel.62,urn:cite:phoros:payrec.62,,,,
urn:cite:phoros:conflevel.63,urn:cite:phoros:payrec.63,,,,
urn:cite:phoros:conflevel.64,urn:cite:phoros:payrec.64,,,,
urn:cite:phoros:conflevel.65,urn:cite:phoros:payrec.65,,,,
urn:cite:phoros:conflevel.66,urn:cite:phoros:payrec.66,,,,
urn:cite:phoros:conflevel.67,urn:cite:phoros:payrec.67,,,,
urn:cite:phoros:conflevel.68,urn:cite:phoros:payrec.68,,,,
urn:cite:phoros:conflevel.69,urn:cite:phoros:payrec.69,,,,
urn:cite:phoros:conflevel.70,urn:cite:phoros:payrec.70,,,,
urn:cite:phoros:conflevel.71,urn:cite:phoros:payrec.71,,,,
urn:cite:phoros:conflevel.72,urn:cite:phoros:payrec.72,,,,
urn:cite:phoros:conflevel.73,urn:cite:phoros:payrec.73,,,,
urn:cite:phoros:conflevel.74,urn:cite:phoros:payrec.74,,,,
urn:cite:phoros:conflevel.75,urn:cite:phoros:payrec.75,,,,
urn:cite:phoros:conflevel.76,urn:cite:phoros:payrec.76,,,,
urn:cite:phoros:conflevel.77,urn:cite:phoros:payrec.77,,,,
urn:cite:phoros:conflevel.78,urn:cite:phoros:payrec.78,,,,
urn:cite:phoros:conflevel.79,urn:cite:phoros:payrec.79,,,,
urn:cite:phoros:conflevel.80,urn:cite:phoros:payrec.80,,,,
urn:cite:phoros:conflevel.81,urn:cite:phoros:payrec.81,,,,
urn:cite:phoros:conflevel.82,urn:cite:phoros:payrec.82,,,,
urn:cite:phoros:conflevel.83,urn:cite:phoros:payrec.83,,,,
urn:cite:phoros:conflevel.84,urn:cite:phoros:payrec.84,,,,
urn:cite:phoros:conflevel.85,urn:cite:phoros:payrec.85,,,,
urn:cite:phoros:conflevel.86,urn:cite:phoros:payrec.86,,,,
urn:cite:phoros:conflevel.87,urn:cite:phoros:payrec.87,,,,
urn:cite:phoros:conflevel.88,urn:cite:phoros:payrec.88,,,,
urn:cite:phoros:conflevel.89,urn:cite:phoros:payrec.89,,,,
urn:cite:phoros:conflevel.90,urn:cite:phoros:payrec.90,,,,
urn:cite:phoros:conflevel.91,urn:cite:phoros:payrec.91,,,,
urn:cite:phoros:conflevel.92,urn:cite:phoros:payrec.92,,,,
urn:cite:phoros:conflevel.93,urn:cite:phoros:payrec.93,,,,
urn:cite:phoros:conflevel.94,urn:cite:phoros:payrec.94,,,,
urn:cite:phoros:conflevel.95,urn:cite:phoros:payrec.95,,,,
urn:cite:phoros:conflevel.96,urn:cite:phoros:payrec.96,,,,
urn:cite:phoros:conflevel.97,urn:cite:phoros:payrec.97,,,,
urn:cite:phoros:conflevel.98,urn:cite:phoros:payrec.98,,,,
urn:cite:phoros:conflevel.99,urn:cite:phoros:payrec.99,,,,
urn:cite:phoros:conflevel.100,urn:cite:phoros:payrec.100,,,,
urn:cite:phoros:conflevel.101,urn:cite:phoros:payrec.101,,,,
urn:cite:phoros:conflevel.102,urn:cite:phoros:payrec.102,,,,
urn:cite:phoros:conflevel.103,urn:cite:phoros:payrec.103,,,,
urn:cite:phoros:conflevel.104,urn:cite:phoros:payrec.104,,,,
urn:cite:phoros:conflevel.105,urn:cite:phoros:payrec.105,,,,
urn:cite:phoros:conflevel.106,urn:cite:phoros:payrec.106,,,,
urn:cite:phoros:conflevel.107,urn:cite:phoros:payrec.107,,,,
urn:cite:phoros:conflevel.108,urn:cite:phoros:payrec.108,,,,
urn:cite:phoros:conflevel.109,urn:cite:phoros:payrec.109,,,,
urn:cite:phoros:conflevel.110,urn:cite:phoros:payrec.110,,,,
urn:cite:phoros:conflevel.111,urn:cite:phoros:payrec.111,,,,
urn:cite:phoros:conflevel.112,urn:cite:phoros:payrec.112,,,,
urn:cite:phoros:conflevel.113,urn:cite:phoros:payrec.113,,,,
urn:cite:phoros:conflevel.114,urn:cite:phoros:payrec.114,,,,
urn:cite:phoros:conflevel.115,urn:cite:phoros:payrec.115,,,,
urn:cite:phoros:conflevel.116,urn:cite:phoros:payrec.116,,,,
urn:cite:phoros:conflevel.117,urn:cite:phoros:payrec.117,,,,
urn:cite:phoros:conflevel.118,urn:cite:phoros:payrec.118,,,,
urn:cite:phoros:conflevel.119,urn:cite:phoros:payrec.119,,,,
urn:cite:phoros:conflevel.120,urn:cite:phoros:payrec.120,,,,
urn:cite:phoros:conflevel.121,urn:cite:phoros:payrec.121,,,,
urn:cite:phoros:conflevel.122,urn:cite:phoros:payrec.122,,,,
urn:cite:phoros:conflevel.123,urn:cite:phoros:payrec.123,,,,
urn:cite:phoros:conflevel.124,urn:cite:phoros:payrec.124,,,,
urn:cite:phoros:conflevel.125,urn:cite:phoros:payrec.125,,,,
urn:cite:phoros:conflevel.126,urn:cite:phoros:payrec.126,,,,
urn:cite:phoros:conflevel.127,urn:cite:phoros:payrec.127,,,,
urn:cite:phoros:conflevel.128,urn:cite:phoros:payrec.128,,,,
urn:cite:phoros:conflevel.129,urn:cite:phoros:payrec.129,,,,
urn:cite:phoros:conflevel.130,urn:cite:phoros:payrec.130,,,,
