GroupContribution,Year,Group,Place,PaymentRecord,GroupPayment
urn:cite:phoros:groupcontrib.1,1,urn:cite:phoros:paygroup.1,urn:cite:phoros:places.9,urn:cite:phoros:payrec.10,urn:cite:phoros:grouppayment.1
urn:cite:phoros:groupcontrib.2,1,urn:cite:phoros:paygroup.1,urn:cite:phoros:places.10,urn:cite:phoros:payrec.11,urn:cite:phoros:grouppayment.1
urn:cite:phoros:groupcontrib.3,1,urn:cite:phoros:paygroup.2,urn:cite:phoros:places.14,urn:cite:phoros:payrec.15,urn:cite:phoros:grouppayment.2
urn:cite:phoros:groupcontrib.4,1,urn:cite:phoros:paygroup.2,urn:cite:phoros:places.15,urn:cite:phoros:payrec.16,urn:cite:phoros:grouppayment.2
urn:cite:phoros:groupcontrib.5,1,urn:cite:phoros:paygroup.2,urn:cite:phoros:places.15,urn:cite:phoros:payrec.17,urn:cite:phoros:grouppayment.2
urn:cite:phoros:groupcontrib.6,1,urn:cite:phoros:paygroup.2,urn:cite:phoros:places.16,urn:cite:phoros:payrec.18,urn:cite:phoros:grouppayment.2
urn:cite:phoros:groupcontrib.7,1,urn:cite:phoros:paygroup.3,urn:cite:phoros:places.53,urn:cite:phoros:payrec.60,urn:cite:phoros:grouppayment.3
urn:cite:phoros:groupcontrib.8,1,urn:cite:phoros:paygroup.3,urn:cite:phoros:places.54,urn:cite:phoros:payrec.61,urn:cite:phoros:grouppayment.3
urn:cite:phoros:groupcontrib.9,1,urn:cite:phoros:paygroup.3,urn:cite:phoros:places.54,urn:cite:phoros:payrec.62,urn:cite:phoros:grouppayment.3
urn:cite:phoros:groupcontrib.10,1,urn:cite:phoros:paygroup.3,urn:cite:phoros:places.55,urn:cite:phoros:payrec.63,urn:cite:phoros:grouppayment.3
urn:cite:phoros:groupcontrib.11,1,urn:cite:phoros:paygroup.3,urn:cite:phoros:places.55,urn:cite:phoros:payrec.64,urn:cite:phoros:grouppayment.3
