Record,Year,Source,Place,Obols
urn:cite:phoros:payments.0,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.14,urn:cite:phoros:places.1,100
urn:cite:phoros:payments.1,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.15,urn:cite:phoros:places.2,100
urn:cite:phoros:payments.2,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.16,urn:cite:phoros:places.3,100
urn:cite:phoros:payments.3,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.21,,
urn:cite:phoros:payments.4,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.22,urn:cite:phoros:places.4,4500
urn:cite:phoros:payments.5,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.23,urn:cite:phoros:places.5,7200
urn:cite:phoros:payments.6,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.24,,50
urn:cite:phoros:payments.7,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.25,urn:cite:phoros:places.6,100
urn:cite:phoros:payments.8,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.26,urn:cite:phoros:places.7,1200
urn:cite:phoros:payments.9,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.27,,
urn:cite:phoros:payments.10,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.1.28,,
urn:cite:phoros:payments.11,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.2.8,urn:cite:phoros:places.8,
urn:cite:phoros:payments.12,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.2.10,urn:cite:phoros:places.10,3600
urn:cite:phoros:payments.13,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.2.13,urn:cite:phoros:places.11,100
urn:cite:phoros:payments.14,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.2.14,urn:cite:phoros:places.12,400
urn:cite:phoros:payments.15,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.2.15,urn:cite:phoros:places.13,7200
urn:cite:phoros:payments.16,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.2.26,urn:cite:phoros:places.15,1400
urn:cite:phoros:payments.17,urn:cite:phoros:documents.stele1_year1,urn:cts:phoros:stele1.year1.hc:front.2.27,urn:cite:phoros:places.17,640
