Payment,TextPassage,TextContent,Sequence,Year,Place,Obols,ChangeStatus,ChangeAmount
urn:cite:phoros:payrec.1,urn:cts:phoros:stele1.year1:front.1.14,ΣΤΑΓΙΡΙΤΑΙ,1,1,urn:cite:phoros:places.1,100,same,0
urn:cite:phoros:payrec.2,urn:cts:phoros:stele1.year1:front.1.15, ΦΑΡΒΕΛΙ ΟΙ,2,1,urn:cite:phoros:places.2,100,same,0
urn:cite:phoros:payrec.3,urn:cts:phoros:stele1.year1:front.1.16,ΕΛΑΥΤΑΙ,3,1,urn:cite:phoros:places.3,100,same,0
urn:cite:phoros:payrec.4,urn:cts:phoros:stele1.year1:front.1.22,ΕΦΕΣΙΟΙΙ,4,1,urn:cite:phoros:places.4,4500,same,0
urn:cite:phoros:payrec.5,urn:cts:phoros:stele1.year1:front.1.23,ΑΙΝΙΟΙ,5,1,urn:cite:phoros:places.5,7200,same,0
urn:cite:phoros:payrec.6,urn:cts:phoros:stele1.year1:front.1.25,ΝΑΧΣΙΑΤΑΙ,6,1,urn:cite:phoros:places.6,100,same,0
urn:cite:phoros:payrec.7,urn:cts:phoros:stele1.year1:front.1.26, ΜΑΔΝΑΣΕΣ,7,1,urn:cite:phoros:places.7,1200,same,0
urn:cite:phoros:payrec.8,urn:cts:phoros:stele1.year1:front.2.7,ΘΕΡΜΑΙΟΙ,8,1,urn:cite:phoros:places.8,,,
urn:cite:phoros:payrec.9,urn:cts:phoros:stele1.year1:front.2.8,ΕΝ ΙΚΑΡΟΙ ,9,1,urn:cite:phoros:places.8,,,
urn:cite:phoros:payrec.12,urn:cts:phoros:stele1.year1:front.2.13,ΠΙΤΑΝΑΙΟΙ,12,1,urn:cite:phoros:places.11,100,same,0
urn:cite:phoros:payrec.13,urn:cts:phoros:stele1.year1:front.2.14, ΘΥΣΣΙΟΙ,13,1,urn:cite:phoros:places.12,400,same,0
urn:cite:phoros:payrec.14,urn:cts:phoros:stele1.year1:front.2.15,ΤΟΡΟΝΑΙΟΙ,14,1,urn:cite:phoros:places.13,7200,same,0
urn:cite:phoros:payrec.19,urn:cts:phoros:stele1.year1:front.2.27,ΣΑΜΒΑΚΤΥΣ,19,1,urn:cite:phoros:places.17,640,same,0
urn:cite:phoros:payrec.20,urn:cts:phoros:stele1.year1:front.2.28, ΧΕΡΡΟΝΕΣΙΤΑΙ,20,1,urn:cite:phoros:places.18,10800,same,0
urn:cite:phoros:payrec.21,urn:cts:phoros:stele1.year1:front.2.29,ΑΒΥΔΕΝΟΙ,21,1,urn:cite:phoros:places.19,2626,same,0
urn:cite:phoros:payrec.22,urn:cts:phoros:stele1.year1:front.3.16,ΚΑΜΕΡΕΣ,22,1,urn:cite:phoros:places.20,5400,same,0
urn:cite:phoros:payrec.23,urn:cts:phoros:stele1.year1:front.3.17,ΚΡΥΕΣ,23,1,urn:cite:phoros:places.21,200,same,0
urn:cite:phoros:payrec.24,urn:cts:phoros:stele1.year1:front.3.20,ΠΕΠΑΡΕΘΙΟΙ,24,1,urn:cite:phoros:places.22,1800,same,0
urn:cite:phoros:payrec.25,urn:cts:phoros:stele1.year1:front.3.21, ΚΟΛΟΦΟΝΙΟΙ,25,1,urn:cite:phoros:places.23,1800,same,0
urn:cite:phoros:payrec.26,urn:cts:phoros:stele1.year1:front.3.22,ΝΟΤΙΕΣ,26,1,urn:cite:phoros:places.24,200,same,0
urn:cite:phoros:payrec.27,urn:cts:phoros:stele1.year1:front.3.23,ΔΙΟΣΕΡΙΤΑΙ,27,1,urn:cite:phoros:places.25,100,same,0
urn:cite:phoros:payrec.28,urn:cts:phoros:stele1.year1:front.3.24,ΣΠΑΡΤΟΛΙΟΙ,28,1,urn:cite:phoros:places.26,1200,same,0
