PleiadesId,SiteURN,EnglishForm,NormalizedForm,Comments
http://pleiades.stoa.org/places/501625,urn:cite:phoros:places.1,Stageira,σταγιρῖται,
http://pleiades.stoa.org/places/507450,urn:cite:phoros:places.2,Pharbelos,φαρβήλιοι,
,urn:cite:phoros:places.3,Elaia,ἐλαῦται (παρὰ μύριναν),
http://pleiades.stoa.org/places/501646,urn:cite:phoros:places.13,Torone,τορωναῖοι,
http://pleiades.stoa.org/places/599578,urn:cite:phoros:places.24,Notion,νοτιῆς ,
http://pleiades.stoa.org/places/599612,urn:cite:phoros:places.4,Ephesos,ἐφέσιοι,
http://pleiades.stoa.org/places/501337,urn:cite:phoros:places.5,Ainos,αἴνιοι,remarkable successive lowerings attributed to the rise of Odrysian power
,urn:cite:phoros:places.18,Chersonese,χερρονησῖται (ἀπ’ ἀγορᾶς),
,urn:cite:phoros:places.6,Naxia,ναξιᾶται,
http://pleiades.stoa.org/places/550833,urn:cite:phoros:places.11,Pitane,πιταναῖοι,
,urn:cite:phoros:places.16,Dion,διῆς,
,urn:cite:phoros:places.30,Neapolis,νεάπολις,??
http://pleiades.stoa.org/places/550463,urn:cite:phoros:places.35,Assos,ἥσσιοι,
http://pleiades.stoa.org/places/501605,urn:cite:phoros:places.56,Sermylia,σερμυλιῆς,year 7 σερβυλιῆς
,urn:cite:phoros:places.64,Kedriai,κεδριᾶται ἀπὸ καρίας,
http://pleiades.stoa.org/places/599776,urn:cite:phoros:places.7,Madnasa/Medmassa,μαδνασῆς,Year 5: μαγνασῆς 
,urn:cite:phoros:places.21,Krya,κρυῆς ἀπὸ καρίας,
http://pleiades.stoa.org/places/511169,urn:cite:phoros:places.29,Astakos,ἀστακηνοί,
,urn:cite:phoros:places.31,Maiandros,μαιάνδριοι,
http://pleiades.stoa.org/places/589913,urn:cite:phoros:places.33,Lindos,λίνδιοι,Rhodes
,urn:cite:phoros:places.8,Therma in Ikaros,θερμαῖοι ἐξ ἰκάρου (ἐκάρου),
http://pleiades.stoa.org/places/541023,urn:cite:phoros:places.22,Peparethos,πεπαρήθιοι,
,urn:cite:phoros:places.34,Oine in Ikaros,οἰναῖοι ἐξ ἰκάρου,
http://pleiades.stoa.org/places/599636,urn:cite:phoros:places.38,Halikarnassos,ἁλικαρνάσσιοι,
http://pleiades.stoa.org/places/501627,urn:cite:phoros:places.58,Stolos,στώλιοι,
http://pleiades.stoa.org/places/599948,urn:cite:phoros:places.63,Pikres Syangela,πίκρης συαγγελῆς ,"πίγρης,  πίτρης "
http://pleiades.stoa.org/places/550488,urn:cite:phoros:places.66,Boutheia,βουθειῆς ἐρυθαίων,
http://pleiades.stoa.org/places/511158,urn:cite:phoros:places.73,Artake,ἀρτακηνοί,
http://pleiades.stoa.org/places/599672,urn:cite:phoros:places.77,Ios,ἰᾶται,spelled ΙΕΤΑΙ in year 5
http://pleiades.stoa.org/places/579853,urn:cite:phoros:places.80,Aigina,αἰγινῆται,
http://pleiades.stoa.org/places/501620,urn:cite:phoros:places.9,Skione,σκιωναῖοι,
http://pleiades.stoa.org/places/491715,urn:cite:phoros:places.14,Sane,σαναῖοι,
,urn:cite:phoros:places.25,Diosera,διοσερῖται,
http://pleiades.stoa.org/places/491729,urn:cite:phoros:places.26,Spartolos,σπαρτώλιοι,Year 9: Bottiaioi (see gazetteer) 
http://pleiades.stoa.org/places/501507,urn:cite:phoros:places.32,Maroneia,μαρωνῖται,
http://pleiades.stoa.org/places/550772,urn:cite:phoros:places.36,Neandreia,νεάνδρεια,
http://pleiades.stoa.org/places/501619,urn:cite:phoros:places.54,Skabla,σκαβλαῖοι,
http://pleiades.stoa.org/places/511385,urn:cite:phoros:places.72,Kios,κιανοί,
http://pleiades.stoa.org/places/501637,urn:cite:phoros:places.10,Therambos,θραμβαῖοι,
http://pleiades.stoa.org/places/501535,urn:cite:phoros:places.15,Olophyxos,ὀλοφύξιοι (ἐξ ἄθω),
,urn:cite:phoros:places.27,Hairai,αἱραῖοι,
http://pleiades.stoa.org/places/511235,urn:cite:phoros:places.42,Diduma Teichos,διδυμοτειχῖται,"The 'Twin Forts'"
,urn:cite:phoros:places.43,Dikaiopolis,δικαιαοπολῖται (ἐρετριῶν ἄποικοι),
http://pleiades.stoa.org/places/491678,urn:cite:phoros:places.53,Olynthos,ὀλύνθιοι,
http://pleiades.stoa.org/places/501643,urn:cite:phoros:places.12,Thyssos,θύσσιοι,
http://pleiades.stoa.org/places/599577,urn:cite:phoros:places.23,Kolophon,κολοφώνιοι,
,urn:cite:phoros:places.17,Sambaktos,σαμβακτύς,
,urn:cite:phoros:places.28,Lindos Oiai,λινδίων οἰιᾶται,Rhodes
http://pleiades.stoa.org/places/501325,urn:cite:phoros:places.19,Abydos,ἀβυδηνοί,
http://pleiades.stoa.org/places/550678,urn:cite:phoros:places.37,Lamponeia,λαμπώνεια,
http://pleiades.stoa.org/places/501358,urn:cite:phoros:places.45,Argilos,ἀργίλιοι,
http://pleiades.stoa.org/places/501399,urn:cite:phoros:places.51,Dikaia by Abdera,δίκαια παρ’ ἄβδηρα,
http://pleiades.stoa.org/places/491660,urn:cite:phoros:places.57,Mekyberna,μεκυβερναῖοι,
,urn:cite:phoros:places.68,Chios in Karia,χῖοι κᾶρες,
http://pleiades.stoa.org/places/511226,urn:cite:phoros:places.79,Daskyleion in Propontidi,δασκύλειον ἐν προποντίδι,
http://pleiades.stoa.org/places/589836,urn:cite:phoros:places.20,Kameiros,καμειρῆς,Rhodes
http://pleiades.stoa.org/places/491732,urn:cite:phoros:places.39,Strepsa,στρεψαῖοι,
,urn:cite:phoros:places.46,Karbasyanda,καρβασυανδῆς παρὰ καῦνον,
,urn:cite:phoros:places.76,Auliataι Kares,αὐλιᾶται κᾶρες,"in 7, II, 7 written as Οὐλιᾶται"
http://pleiades.stoa.org/places/599957,urn:cite:phoros:places.82,Teichioussa,"τειχιοῦσσα/,Year 1:μιλήσιοι ἐξ τειχιόσσες ",
,urn:cite:phoros:places.40,Palepsos,,"couldn't find in gazetteer?"
http://pleiades.stoa.org/places/606323,urn:cite:phoros:places.41,Kyrbissos,κυρβισσός,
,urn:cite:phoros:places.49,Kebrene,κεβρήνιοι,
http://pleiades.stoa.org/places/501323,urn:cite:phoros:places.52,Abdera,ἀβδηρῖται,rough breathing
http://pleiades.stoa.org/places/501613,urn:cite:phoros:places.60,Singos,σίγγιοι,
,urn:cite:phoros:places.62,Mysia,μυσοὶ,??
http://pleiades.stoa.org/places/511354,urn:cite:phoros:places.78,Parion,παριανοί,
http://pleiades.stoa.org/places/550650,urn:cite:phoros:places.44,Klazomenia,κλαζομένιοι,
,urn:cite:phoros:places.55,Asseritis,ἀσσηρῖται,
http://pleiades.stoa.org/places/639051,urn:cite:phoros:places.47,Phaselis,φασηλῖται,
http://pleiades.stoa.org/places/606314,urn:cite:phoros:places.50,Kasolaba,κασολαβῆς,
,urn:cite:phoros:places.59,Polichne,πολιχνῖται,
http://pleiades.stoa.org/places/599707,urn:cite:phoros:places.65,Keramos,κεράμιοι,
http://pleiades.stoa.org/places/599737,urn:cite:phoros:places.67,Kyllandos,κυλλάνδιοι,
http://pleiades.stoa.org/places/501523,urn:cite:phoros:places.74,Neapolis in Thrace,νεάπολις,??
http://pleiades.stoa.org/places/599965,urn:cite:phoros:places.48,Termera,τερμερῆς,
http://pleiades.stoa.org/places/501634,urn:cite:phoros:places.61,Thasos,θάσιοι,
http://pleiades.stoa.org/places/606279,urn:cite:phoros:places.69,Bolbai,βολβαιῆς,
http://pleiades.stoa.org/places/599489,urn:cite:phoros:places.71,Mydon,μυδονῆς,identified with Amyzon from Hellenistic and Roman times
http://pleiades.stoa.org/places/501596,urn:cite:phoros:places.75,Berytis below Mt. Ida,βηρύσιοι ὑπὸ τῇ ἴδῃ,
http://pleiades.stoa.org/places/606340,urn:cite:phoros:places.70,Narisbara/Narasa/Narasar,ναρισβαρῆς,
http://pleiades.stoa.org/places/606368,urn:cite:phoros:places.81,Lero,λέρος /Year 1: μιλήσιοι ἐξ λέρου,see note in gazetteer about Miletos
http://pleiades.stoa.org/places/599762,urn:cite:phoros:places.83,Lepsimandos,ληψιμάνιοι,"variant spellings (-ιμανδες, ιμανδοι, -υανδες)"
http://pleiades.stoa.org/places/550555,urn:cite:phoros:places.97,Gryneion,γρυνειῆς,
http://pleiades.stoa.org/places/599716,urn:cite:phoros:places.102,Kindya,κινδυῆς,
,urn:cite:phoros:places.104,Astyra,ἄστυρα,
,urn:cite:phoros:places.84,Erine,ἐρινῆς,
http://pleiades.stoa.org/places/501570,urn:cite:phoros:places.95,Lampsakos,λαμψακηνοί,
http://pleiades.stoa.org/places/599488,urn:cite:phoros:places.85,Amynanda,ἀμυνανδῆς,
http://pleiades.stoa.org/places/550569,urn:cite:phoros:places.94,Hephaistia,ἡφαιστιῆς (οἱ ἐν λήμνῳ),Why no rough breathing?
http://pleiades.stoa.org/places/599666,urn:cite:phoros:places.86,Paktyes Idyma,πακτύης ἰδυμεύς,
http://pleiades.stoa.org/places/599842,urn:cite:phoros:places.87,Uranium,οὐρανιῆται,
http://pleiades.stoa.org/places/599550,urn:cite:phoros:places.103,Bargylia,βαργυλιῆς,
http://pleiades.stoa.org/places/599841,urn:cite:phoros:places.88,Oula,οὐλαιῆς,
http://pleiades.stoa.org/places/501596,urn:cite:phoros:places.93,Samothraki,σαμοθρᾷκες,
http://pleiades.stoa.org/places/599752,urn:cite:phoros:places.99,Latmos,λάτμιοι,
http://pleiades.stoa.org/places/606368,urn:cite:phoros:places.89,Tarbana,ταρβανῆς,
http://pleiades.stoa.org/places/606316,urn:cite:phoros:places.90,Kodapa,κοδαπῆς,site unknown
,urn:cite:phoros:places.92,Astypalaia,ἀστυπαλαιῆς,
http://pleiades.stoa.org/places/599811,urn:cite:phoros:places.96,Myndos,μύνδιοι (παρὰ τέρμερα),
,urn:cite:phoros:places.98,Pelen/Pyli,πελειᾶται,
,urn:cite:phoros:places.91,Arisbe,ἀρισβαῖοι,
http://pleiades.stoa.org/places/599905,urn:cite:phoros:places.101,Priene,πριανῆς,
http://pleiades.stoa.org/places/599873,urn:cite:phoros:places.100,Pedasa,πηδασῆς,
,urn:cite:phoros:places.107,Tenedos,τενέδιοι,
http://pleiades.stoa.org/places/491525,urn:cite:phoros:places.105,Aphytis,ἀφυταῖοι,
http://pleiades.stoa.org/places/599807,urn:cite:phoros:places.114,Mykonos,μυκόνιοι,
http://pleiades.stoa.org/places/550693,urn:cite:phoros:places.106,Lemnos,λήμνιοι,
http://pleiades.stoa.org/places/501515,urn:cite:phoros:places.112,Mende,μενδαῖοι,
,urn:cite:phoros:places.108,Pentinos,??,
http://pleiades.stoa.org/places/599684,urn:cite:phoros:places.109,Kalymna,καλύδνιοι,
http://pleiades.stoa.org/places/638796,urn:cite:phoros:places.110,Kaunos,καύνιοι,
http://pleiades.stoa.org/places/599693,urn:cite:phoros:places.111,Karyanda,καρυανδῆς,
http://pleiades.stoa.org/places/520988,urn:cite:phoros:places.115,Kalchedon,χαλχηδόνιοι,
http://pleiades.stoa.org/places/494578,urn:cite:phoros:places.113,Kampsa,σκαψαῖοι,
http://pleiades.stoa.org/places/501544,urn:cite:phoros:places.116,Paisos,παισηνοί,
http://pleiades.stoa.org/places/599799,urn:cite:phoros:places.117,Miletos,μιλήσιοι,
http://pleiades.stoa.org/places/550544,urn:cite:phoros:places.118,Gargara,γαργαρῆς,
http://pleiades.stoa.org/places/599813,urn:cite:phoros:places.119,Myous,μυήσσιοι,year 5: μυήβιοι
,urn:cite:phoros:places.120,Myrina,μυριναῖοι,?????
http://pleiades.stoa.org/places/511449,urn:cite:phoros:places.134,Tyrodiza,τυρόδιζα,
http://pleiades.stoa.org/places/540681,urn:cite:phoros:places.121,Athenai Diades,ἀθῆναι διάδες,
,urn:cite:phoros:places.124,Nisyros,νισύριοι,
http://pleiades.stoa.org/places/589815,urn:cite:phoros:places.128,Ialysos,ἰηλύσιοι,Rhodes
http://pleiades.stoa.org/places/511378,urn:cite:phoros:places.129,Prokonnesos,προκοννήσιοι,
http://pleiades.stoa.org/places/501345,urn:cite:phoros:places.122,Alopekonnesos,ἀλωποκοννήσιοι,
http://pleiades.stoa.org/places/599575,urn:cite:phoros:places.125,Knidos,κνίδιοι,
http://pleiades.stoa.org/places/599914,urn:cite:phoros:places.126,Pyrnos,πύρνιοι,
http://pleiades.stoa.org/places/511227,urn:cite:phoros:places.130,Daunion/Damnion,δαυνιοτειχῖταί/δαμνιοτειχῖται,
http://pleiades.stoa.org/places/550890,urn:cite:phoros:places.131,Skepsis,σκάψιοι,"form variations: σκήψιοι σκήμψιοι"
http://pleiades.stoa.org/places/639137,urn:cite:phoros:places.141,Telmessos/Telemessos,τελεμήσσιοι,Lykian
http://pleiades.stoa.org/places/501556,urn:cite:phoros:places.123,Perkote,περκώσιοι,consider together with παλαιπερκωσιοι
,urn:cite:phoros:places.136,Kyme,κυμαῖοι,
http://pleiades.stoa.org/places/638965,urn:cite:phoros:places.142,Lykia,λύκιοι,
http://pleiades.stoa.org/places/511375,urn:cite:phoros:places.127,Priapos,πριαπῆς (παρὰ πάριον),
http://pleiades.stoa.org/places/269449175,urn:cite:phoros:places.132,Azeia,ἀζειοί,
http://pleiades.stoa.org/places/550823,urn:cite:phoros:places.138,Phokaia,φωκαιῆς,
http://pleiades.stoa.org/places/501374,urn:cite:phoros:places.133,Berge,βεργαῖοι,
http://pleiades.stoa.org/places/520985,urn:cite:phoros:places.139,Byzantion,βυζάντιοι,
http://pleiades.stoa.org/places/590067,urn:cite:phoros:places.135,Syros,σύριοι,
http://pleiades.stoa.org/places/511357,urn:cite:phoros:places.137,Perinthos,περίνθιοι,
http://pleiades.stoa.org/places/511218,urn:cite:phoros:places.140,Kyzikos,κυζικηνοί,
http://pleiades.stoa.org/places/501335,urn:cite:phoros:places.143,Aige,αἰγάντιοι,
,urn:cite:phoros:places.144,Neapolis from Pallene ,νεάπολις,̣??
http://pleiades.stoa.org/places/589693,urn:cite:phoros:places.145,Andros,ἄνδριοι,
,urn:cite:phoros:places.171,Thydonos,θύδονος,
http://pleiades.stoa.org/places/491513,urn:cite:phoros:places.182,Aineia,αἰνειᾶται,
http://pleiades.stoa.org/places/590043,urn:cite:phoros:places.146,Seriphos ,σερίφιοι,
,urn:cite:phoros:places.154,Polichne in Karia,πολιχναῖοι κᾶρες,the site is unknown
,urn:cite:phoros:places.170,Killares,κιλλαρῆς,
,urn:cite:phoros:places.147,Koresos/κορεσια,κορήσιοι,
http://pleiades.stoa.org/places/501547,urn:cite:phoros:places.153,Palaiperkote,παλαιπερκώσιοι,
http://pleiades.stoa.org/places/599918,urn:cite:phoros:places.148,Rheneia,ῥηναιῆς,
http://pleiades.stoa.org/places/570336,urn:cite:phoros:places.149,Karystos,καρύστιοι,
http://pleiades.stoa.org/places/540835,urn:cite:phoros:places.157,Ikos,ἴκιοι,
http://pleiades.stoa.org/places/511414,urn:cite:phoros:places.159,Selymbria,σηλυμβριανοί,extraordinary variations of tribute
http://pleiades.stoa.org/places/599968,urn:cite:phoros:places.163,Thasthara,θασθαρῆς,
http://pleiades.stoa.org/places/599569,urn:cite:phoros:places.167,Chalketor,χαλκητορῆς,
http://pleiades.stoa.org/places/540797,urn:cite:phoros:places.150,Grynche,γρυνχῆς/βρυχῆς,
http://pleiades.stoa.org/places/599869,urn:cite:phoros:places.151,Parparos,παρπαριῶται,
,urn:cite:phoros:places.161,Humisses,ὑμισσῆς,unknown site
http://pleiades.stoa.org/places/550913,urn:cite:phoros:places.152,Teos,τῄϊοι,
http://pleiades.stoa.org/places/639040,urn:cite:phoros:places.155,Pasanda,πασανδῆς (ἀπὸ καύνου),
,urn:cite:phoros:places.156,Phegetioi,φηγήτιοι,"form variations: φεγέτιοι, φεγέντιοι, φεγόντιο"
,urn:cite:phoros:places.160,Kos,κῷοι,
,urn:cite:phoros:places.162,Aison,αἱσώνιοι,rough breathing
,urn:cite:phoros:places.158,Dardanos,δαρδανῆς,
,urn:cite:phoros:places.164,Chersonesos,χερρονήσιοι,
,urn:cite:phoros:places.165,Alinda,ἀλινδῆς,
,urn:cite:phoros:places.166,Keos/Kea,κεῖοι,
,urn:cite:phoros:places.168,Kudaies/Hudaies,κυδαιῆς,equated with ὑδαιες  of A9
,urn:cite:phoros:places.169,Hyblisses,ὑβλισσῆς,unknown site
,urn:cite:phoros:places.172,Silos,σίλοι,site unknown
,urn:cite:phoros:places.173,Telandros,τηλάνδριοι,
,urn:cite:phoros:places.174,Lebedos,λεβέδιοι,
,urn:cite:phoros:places.175,Chalke,χαλκειᾶται,
,urn:cite:phoros:places.176,Mylasa,μυλασῆς,modern Milas
,urn:cite:phoros:places.177,Sidousa,σιδούσιοι (ἐρυθραίων),
,urn:cite:phoros:places.178,Pteleon,πτελεούσιοι (ἐρυθραίων),
,urn:cite:phoros:places.179,Karpathos,καρπάθιοι,
,urn:cite:phoros:places.180,Arkaseia,ἀρκέσσεια,
,urn:cite:phoros:places.181,Hulimes,ὑλιμῆς ,
,urn:cite:phoros:places.183,Neapolis by Antisara,νεάπολις παρ’ ἀντισάραν,
,urn:cite:phoros:places.184,Akanthos,ἀκάνθιοι,
,urn:cite:phoros:places.185,Pargasa,παργασῆς,
,urn:cite:phoros:places.186,Gentinos,γεντίνιοι,
,urn:cite:phoros:places.187,Skiathos,σκιάθιοι,
,urn:cite:phoros:places.191,Siphnos,σίφνιοι,
,urn:cite:phoros:places.197,Naxos,νάξιοι,
,urn:cite:phoros:places.188,Serme,σερμαῖοι,aka Therme
,urn:cite:phoros:places.189,Erodos,ἐρόδιοι,
,urn:cite:phoros:places.190,Tenos,τήνιοι,
,urn:cite:phoros:places.198,Erythrai,ἐρυθραῖοι,
,urn:cite:phoros:places.192,Paros,πάριοι,
,urn:cite:phoros:places.193,Sigeion,σιγειῆς,
,urn:cite:phoros:places.194,Kythnos,κύθνιοι,
,urn:cite:phoros:places.196,Hestiaia,ἑστιαιῆς,
,urn:cite:phoros:places.195,Styra,στυρῆς,
,urn:cite:phoros:places.199,Iasos,ἰασῆς,
,urn:cite:phoros:places.200,Euromos,ὑρωμῆς,
,urn:cite:phoros:places.201,Neapolis of Menda abroad,νεοπολῖται μενδαίων ἄποικοι  ,
,urn:cite:phoros:places.202,Pladasa,πλαδασῆς,
,urn:cite:phoros:places.203,Syangela,συαγγελῆς,
,urn:cite:phoros:places.204,Idyma,ἰδυμῆς,
,urn:cite:phoros:places.205,Pedies in Lindos,πεδιῆς ἐν λίνδῳ,
,urn:cite:phoros:places.206,Othoros,ὀθώριοι,
,urn:cite:phoros:places.207,Chedrolos,χεδρώλιοι/ἑδρώλιοι,
,urn:cite:phoros:places.209,Eurumaxos,εὐρυμαχῖται,
,urn:cite:phoros:places.208,Galepsos,γαλήψιοι,
,urn:cite:phoros:places.210,Brykous,βρυκούντιοι,
,urn:cite:phoros:places.211,Udissos,ὐδισσῆς,
,urn:cite:phoros:places.212,Elaiousa,ἐλαιούσιοι (ἐρυθραίων),
,urn:cite:phoros:places.214,Eretria,ἐρετριῆς,
,urn:cite:phoros:places.213,Harpagion,ἁρπαγιανοί/ἁρπαγιοί,
,urn:cite:phoros:places.215,Chalkis,χαλκιδῆς,
,urn:cite:phoros:places.216,Limnai,λιμναῖοι (ἐν χερρονήσῳ),
,urn:cite:phoros:places.217,Euromos,ὑρωμῆς,
,urn:cite:phoros:places.218,Imbros,ἴμβριοι,
,urn:cite:phoros:places.219,Pygela,πυγελῆς ,
,urn:cite:phoros:places.220,Myrina by Kyme,μυριναῖοι παρὰ κύμην,
,urn:cite:phoros:places.221,Melos,μήλιοι,
,urn:cite:phoros:places.222,Thera,θηραῖοι,
,urn:cite:phoros:places.223,Athenitai,ἀθενῖται ,does not appear in ATL Gazeteer; may be alternate form??
,urn:cite:phoros:places.224,Dion,διῆς ἀπὸ τοῦ ἄθω,
