PleiadesId,SiteURN,EnglishForm,NormalizedForm,Comments
http://pleiades.stoa.org/places/501625,urn:cite:phoros:places.1,Stageira,σταγιρῖται,
"http://pleiades.stoa.org/places/507450",urn:cite:phoros:places.2,Pharbelos,φαρβήλιοι,
,urn:cite:phoros:places.3,Elaia,ἐλαῦται (παρὰ μύριναν),
http://pleiades.stoa.org/places/599612,urn:cite:phoros:places.4,Ephesos,ἐφέσιοι,
,urn:cite:phoros:places.5,Ainos,αἴνιοι,remarkable successive lowerings attributed to the rise of Odrysian power
,urn:cite:phoros:places.6,Naxia,ναξιᾶται,
,urn:cite:phoros:places.7,Madnasa/Medmassa,μαδνασῆς,
,urn:cite:phoros:places.8,Therma in Ikaros,θερμαῖοι ἐξ ἰκάρου (ἐκάρου),
,urn:cite:phoros:places.9,Skione,σκιωναῖοι,
,urn:cite:phoros:places.10,Therambos,θραμβαῖοι,
,urn:cite:phoros:places.11,Pitane,πιταναῖοι ,
,urn:cite:phoros:places.12,Thyssos,θύσσιοι,
,urn:cite:phoros:places.13,Torone,τοροωναῖοι,
,urn:cite:phoros:places.14,Sane,σαναῖοι,
,urn:cite:phoros:places.15,Olophyxos,ὀλοφύξιοι (ἐξ ἄθω),
,urn:cite:phoros:places.16,Dion,διῆς,
,urn:cite:phoros:places.17,Sambaktos,σαμβακτύς,
,urn:cite:phoros:places.18,Chersonese,χερρονησῖται (ἀπ’ ἀγορᾶς),
,urn:cite:phoros:places.19,Abydos,ἀβυδηνοί,
,urn:cite:phoros:places.20,Kameiros,καμειρῆς,Rhodes
,urn:cite:phoros:places.21,Krya,κρυῆς ἀπὸ καρίας,
,urn:cite:phoros:places.22,Peparethos,πεπαρήθιοι,
,urn:cite:phoros:places.23,Kolophon,κολοφώνιοι,
,urn:cite:phoros:places.24,Notion,νοτιῆς ,
,urn:cite:phoros:places.25,Diosera,διοσερῖται,
http://pleiades.stoa.org/places/491729,urn:cite:phoros:places.26,Spartolos,σπαρτώλιοι,
,urn:cite:phoros:places.27,Hairai,αἱραῖοι,
,urn:cite:phoros:places.28,Lindos Oiai,λινδίων οἰιᾶται,Rhodes
,urn:cite:phoros:places.29,Astakos,ἀστακηνοί,
,urn:cite:phoros:places.30,Neapolis,νεάπολις,??
,urn:cite:phoros:places.31,Maiandros,μαιάνδριοι,
,urn:cite:phoros:places.32,Maroneia,μαρωνῖται,
,urn:cite:phoros:places.33,Lindos,λίνδιοι,Rhodes
,urn:cite:phoros:places.34,Oine in Ikaros,οἰναῖοι ἐξ ἰκάρου,
,urn:cite:phoros:places.35,Assos,ἥσσιοι,
,urn:cite:phoros:places.36,Neandreia,νεάνδρεια,
,urn:cite:phoros:places.37,Lamponeia,λαμπώνεια,
,urn:cite:phoros:places.38,Halikarnassos,ἁλικαρνάσσιοι,
,urn:cite:phoros:places.39,Strepsa,στρεψαῖοι,
,urn:cite:phoros:places.40,Palepsos,,"couldn't find in gazetteer?"
,urn:cite:phoros:places.41,Kyrbissos,κυρβισσός,
,urn:cite:phoros:places.42,Diduma Teichos,διδυμοτειχῖται,"Twin Forts"
,urn:cite:phoros:places.43,Dikaiopolis,δικαιαοπολῖται (ἐρετριῶν ἄποικοι),
,urn:cite:phoros:places.44,Klazomenia,κλαζομένιοι,
,urn:cite:phoros:places.45,Argilos,ἀργίλιοι,
,urn:cite:phoros:places.46,Karbasyanda,καρβασυανδῆς παρὰ καῦνον,
,urn:cite:phoros:places.47,Phaselis,φασηλῖται,
,urn:cite:phoros:places.48,Termera,τερμερῆς,
,urn:cite:phoros:places.49,Kebrene,κεβρήνιοι,
,urn:cite:phoros:places.50,Kasolaba,κασολαβῆς,
,urn:cite:phoros:places.51,Dikaia by Abdera,δίκαια παρ’ ἄβδηρα,
,urn:cite:phoros:places.52,Abdera,ἀβδηρῖται,rough breathing
,urn:cite:phoros:places.53,Olynthos,ὀλύνθιοι,
,urn:cite:phoros:places.54,Skabla,σκαβλαῖοι,
,urn:cite:phoros:places.55,Asseritis,ἀσσηρῖται,
,urn:cite:phoros:places.56,Sermylia,σερμυλιῆς,
,urn:cite:phoros:places.57,Mekyberna,μεκυβερναῖοι,
,urn:cite:phoros:places.58,Stolos,στώλιοι,
