Urn,State,Seq
urn:cite:phoros:seqcommon.urn:cite:phoros:places.70,urn:cite:phoros:places.70,0
urn:cite:phoros:seqcommon.urn:cite:phoros:places.107,urn:cite:phoros:places.107,1
urn:cite:phoros:seqcommon.urn:cite:phoros:places.1,urn:cite:phoros:places.1,2
urn:cite:phoros:seqcommon.urn:cite:phoros:places.65,urn:cite:phoros:places.65,3
urn:cite:phoros:seqcommon.urn:cite:phoros:places.20,urn:cite:phoros:places.20,4
urn:cite:phoros:seqcommon.urn:cite:phoros:places.38,urn:cite:phoros:places.38,5
urn:cite:phoros:seqcommon.urn:cite:phoros:places.120,urn:cite:phoros:places.120,6
urn:cite:phoros:seqcommon.urn:cite:phoros:places.57,urn:cite:phoros:places.57,7
urn:cite:phoros:seqcommon.urn:cite:phoros:places.202,urn:cite:phoros:places.202,8
urn:cite:phoros:seqcommon.urn:cite:phoros:places.100,urn:cite:phoros:places.100,9
urn:cite:phoros:seqcommon.urn:cite:phoros:places.136,urn:cite:phoros:places.136,10
urn:cite:phoros:seqcommon.urn:cite:phoros:places.11,urn:cite:phoros:places.11,11
urn:cite:phoros:seqcommon.urn:cite:phoros:places.97,urn:cite:phoros:places.97,12
urn:cite:phoros:seqcommon.urn:cite:phoros:places.164,urn:cite:phoros:places.164,13
urn:cite:phoros:seqcommon.urn:cite:phoros:places.126,urn:cite:phoros:places.126,14
urn:cite:phoros:seqcommon.urn:cite:phoros:places.30,urn:cite:phoros:places.30,15
urn:cite:phoros:seqcommon.urn:cite:phoros:places.67,urn:cite:phoros:places.67,16
urn:cite:phoros:seqcommon.urn:cite:phoros:places.41,urn:cite:phoros:places.41,17
urn:cite:phoros:seqcommon.urn:cite:phoros:places.68,urn:cite:phoros:places.68,18
urn:cite:phoros:seqcommon.urn:cite:phoros:places.105,urn:cite:phoros:places.105,19
urn:cite:phoros:seqcommon.urn:cite:phoros:places.203,urn:cite:phoros:places.203,20
urn:cite:phoros:seqcommon.urn:cite:phoros:places.48,urn:cite:phoros:places.48,21
urn:cite:phoros:seqcommon.urn:cite:phoros:places.204,urn:cite:phoros:places.204,22
urn:cite:phoros:seqcommon.urn:cite:phoros:places.32,urn:cite:phoros:places.32,23
urn:cite:phoros:seqcommon.urn:cite:phoros:places.8,urn:cite:phoros:places.8,24
urn:cite:phoros:seqcommon.urn:cite:phoros:places.34,urn:cite:phoros:places.34,25
urn:cite:phoros:seqcommon.urn:cite:phoros:places.175,urn:cite:phoros:places.175,26
urn:cite:phoros:seqcommon.urn:cite:phoros:places.174,urn:cite:phoros:places.174,27
urn:cite:phoros:seqcommon.urn:cite:phoros:places.182,urn:cite:phoros:places.182,28
urn:cite:phoros:seqcommon.urn:cite:phoros:places.162,urn:cite:phoros:places.162,29
urn:cite:phoros:seqcommon.urn:cite:phoros:places.43,urn:cite:phoros:places.43,30
urn:cite:phoros:seqcommon.urn:cite:phoros:places.43,urn:cite:phoros:places.43,31
urn:cite:phoros:seqcommon.urn:cite:phoros:places.5,urn:cite:phoros:places.5,32
urn:cite:phoros:seqcommon.urn:cite:phoros:places.110,urn:cite:phoros:places.110,33
urn:cite:phoros:seqcommon.urn:cite:phoros:places.163,urn:cite:phoros:places.163,34
urn:cite:phoros:seqcommon.urn:cite:phoros:places.71,urn:cite:phoros:places.71,35
urn:cite:phoros:seqcommon.urn:cite:phoros:places.173,urn:cite:phoros:places.173,36
urn:cite:phoros:seqcommon.urn:cite:phoros:places.46,urn:cite:phoros:places.46,37
urn:cite:phoros:seqcommon.urn:cite:phoros:places.76,urn:cite:phoros:places.76,38
urn:cite:phoros:seqcommon.urn:cite:phoros:places.21,urn:cite:phoros:places.21,39
urn:cite:phoros:seqcommon.urn:cite:phoros:places.2,urn:cite:phoros:places.2,40
urn:cite:phoros:seqcommon.urn:cite:phoros:places.96,urn:cite:phoros:places.96,41
urn:cite:phoros:seqcommon.urn:cite:phoros:places.33,urn:cite:phoros:places.33,42
urn:cite:phoros:seqcommon.urn:cite:phoros:places.205,urn:cite:phoros:places.205,43
urn:cite:phoros:seqcommon.urn:cite:phoros:places.12,urn:cite:phoros:places.12,44
urn:cite:phoros:seqcommon.urn:cite:phoros:places.14,urn:cite:phoros:places.14,45
urn:cite:phoros:seqcommon.urn:cite:phoros:places.135,urn:cite:phoros:places.135,46
urn:cite:phoros:seqcommon.urn:cite:phoros:places.206,urn:cite:phoros:places.206,47
urn:cite:phoros:seqcommon.urn:cite:phoros:places.49,urn:cite:phoros:places.49,48
urn:cite:phoros:seqcommon.urn:cite:phoros:places.90,urn:cite:phoros:places.90,49
urn:cite:phoros:seqcommon.urn:cite:phoros:places.168,urn:cite:phoros:places.168,50
urn:cite:phoros:seqcommon.urn:cite:phoros:places.25,urn:cite:phoros:places.25,51
urn:cite:phoros:seqcommon.urn:cite:phoros:places.167,urn:cite:phoros:places.167,52
urn:cite:phoros:seqcommon.urn:cite:phoros:places.15,urn:cite:phoros:places.15,53
urn:cite:phoros:seqcommon.urn:cite:phoros:places.44,urn:cite:phoros:places.44,54
urn:cite:phoros:seqcommon.urn:cite:phoros:places.52,urn:cite:phoros:places.52,55
urn:cite:phoros:seqcommon.urn:cite:phoros:places.109,urn:cite:phoros:places.109,56
urn:cite:phoros:seqcommon.urn:cite:phoros:places.24,urn:cite:phoros:places.24,57
urn:cite:phoros:seqcommon.urn:cite:phoros:places.118,urn:cite:phoros:places.118,58
