Urn,State,Seq
urn:cite:phoros:seqcommon.0,urn:cite:phoros:places.70,0
urn:cite:phoros:seqcommon.1,urn:cite:phoros:places.107,1
urn:cite:phoros:seqcommon.2,urn:cite:phoros:places.186,2
urn:cite:phoros:seqcommon.3,urn:cite:phoros:places.1,3
urn:cite:phoros:seqcommon.4,urn:cite:phoros:places.2,4
urn:cite:phoros:seqcommon.5,urn:cite:phoros:places.3,5
urn:cite:phoros:seqcommon.6,urn:cite:phoros:places.4,6
urn:cite:phoros:seqcommon.7,urn:cite:phoros:places.5,7
urn:cite:phoros:seqcommon.8,urn:cite:phoros:places.6,8
urn:cite:phoros:seqcommon.9,urn:cite:phoros:places.105,9
urn:cite:phoros:seqcommon.10,urn:cite:phoros:places.106,10
urn:cite:phoros:seqcommon.11,urn:cite:phoros:places.186,11
urn:cite:phoros:seqcommon.12,urn:cite:phoros:places.65,12
urn:cite:phoros:seqcommon.13,urn:cite:phoros:places.71,13
urn:cite:phoros:seqcommon.14,urn:cite:phoros:places.107,14
urn:cite:phoros:seqcommon.15,urn:cite:phoros:places.40,15
urn:cite:phoros:seqcommon.16,urn:cite:phoros:places.108,16
urn:cite:phoros:seqcommon.17,urn:cite:phoros:places.47,17
urn:cite:phoros:seqcommon.18,urn:cite:phoros:places.109,18
urn:cite:phoros:seqcommon.19,urn:cite:phoros:places.44,19
urn:cite:phoros:seqcommon.20,urn:cite:phoros:places.64,20
urn:cite:phoros:seqcommon.21,urn:cite:phoros:places.77,21
urn:cite:phoros:seqcommon.22,urn:cite:phoros:places.73,22
urn:cite:phoros:seqcommon.23,urn:cite:phoros:places.51,23
urn:cite:phoros:seqcommon.24,urn:cite:phoros:places.51,24
urn:cite:phoros:seqcommon.25,urn:cite:phoros:places.92,25
urn:cite:phoros:seqcommon.26,urn:cite:phoros:places.141,26
urn:cite:phoros:seqcommon.27,urn:cite:phoros:places.142,27
urn:cite:phoros:seqcommon.28,urn:cite:phoros:places.111,28
urn:cite:phoros:seqcommon.29,urn:cite:phoros:places.7,29
urn:cite:phoros:seqcommon.30,urn:cite:phoros:places.8,30
urn:cite:phoros:seqcommon.31,urn:cite:phoros:places.8,31
urn:cite:phoros:seqcommon.32,urn:cite:phoros:places.69,32
urn:cite:phoros:seqcommon.33,urn:cite:phoros:places.83,33
urn:cite:phoros:seqcommon.34,urn:cite:phoros:places.84,34
urn:cite:phoros:seqcommon.35,urn:cite:phoros:places.85,35
urn:cite:phoros:seqcommon.36,urn:cite:phoros:places.86,36
urn:cite:phoros:seqcommon.37,urn:cite:phoros:places.87,37
urn:cite:phoros:seqcommon.38,urn:cite:phoros:places.88,38
urn:cite:phoros:seqcommon.39,urn:cite:phoros:places.89,39
urn:cite:phoros:seqcommon.40,urn:cite:phoros:places.90,40
urn:cite:phoros:seqcommon.41,urn:cite:phoros:places.56,41
urn:cite:phoros:seqcommon.42,urn:cite:phoros:places.91,42
urn:cite:phoros:seqcommon.43,urn:cite:phoros:places.80,43
urn:cite:phoros:seqcommon.44,urn:cite:phoros:places.112,44
urn:cite:phoros:seqcommon.45,urn:cite:phoros:places.113,45
urn:cite:phoros:seqcommon.46,urn:cite:phoros:places.114,46
urn:cite:phoros:seqcommon.47,urn:cite:phoros:places.9,47
urn:cite:phoros:seqcommon.48,urn:cite:phoros:places.10,48
urn:cite:phoros:seqcommon.49,urn:cite:phoros:places.11,49
urn:cite:phoros:seqcommon.50,urn:cite:phoros:places.32,50
urn:cite:phoros:seqcommon.51,urn:cite:phoros:places.93,51
urn:cite:phoros:seqcommon.52,urn:cite:phoros:places.117,52
urn:cite:phoros:seqcommon.53,urn:cite:phoros:places.99,53
urn:cite:phoros:seqcommon.54,urn:cite:phoros:places.119,54
urn:cite:phoros:seqcommon.55,urn:cite:phoros:places.105,55
urn:cite:phoros:seqcommon.56,urn:cite:phoros:places.143,56
urn:cite:phoros:seqcommon.57,urn:cite:phoros:places.112,57
urn:cite:phoros:seqcommon.58,urn:cite:phoros:places.131,58
urn:cite:phoros:seqcommon.59,urn:cite:phoros:places.144,59
urn:cite:phoros:seqcommon.60,urn:cite:phoros:places.144,60
urn:cite:phoros:seqcommon.61,urn:cite:phoros:places.114,61
urn:cite:phoros:seqcommon.62,urn:cite:phoros:places.50,62
urn:cite:phoros:seqcommon.63,urn:cite:phoros:places.83,63
urn:cite:phoros:seqcommon.64,urn:cite:phoros:places.64,64
urn:cite:phoros:seqcommon.65,urn:cite:phoros:places.125,65
urn:cite:phoros:seqcommon.66,urn:cite:phoros:places.18,66
urn:cite:phoros:seqcommon.67,urn:cite:phoros:places.75,67
urn:cite:phoros:seqcommon.68,urn:cite:phoros:places.75,68
urn:cite:phoros:seqcommon.69,urn:cite:phoros:places.3,69
urn:cite:phoros:seqcommon.70,urn:cite:phoros:places.22,70
urn:cite:phoros:seqcommon.71,urn:cite:phoros:places.36,71
urn:cite:phoros:seqcommon.72,urn:cite:phoros:places.20,72
urn:cite:phoros:seqcommon.73,urn:cite:phoros:places.38,73
urn:cite:phoros:seqcommon.74,urn:cite:phoros:places.120,74
urn:cite:phoros:seqcommon.75,urn:cite:phoros:places.57,75
urn:cite:phoros:seqcommon.76,urn:cite:phoros:places.202,76
urn:cite:phoros:seqcommon.77,urn:cite:phoros:places.100,77
urn:cite:phoros:seqcommon.78,urn:cite:phoros:places.136,78
urn:cite:phoros:seqcommon.79,urn:cite:phoros:places.11,79
urn:cite:phoros:seqcommon.80,urn:cite:phoros:places.97,80
urn:cite:phoros:seqcommon.81,urn:cite:phoros:places.164,81
urn:cite:phoros:seqcommon.82,urn:cite:phoros:places.126,82
urn:cite:phoros:seqcommon.83,urn:cite:phoros:places.110,83
urn:cite:phoros:seqcommon.84,urn:cite:phoros:places.145,84
urn:cite:phoros:seqcommon.85,urn:cite:phoros:places.146,85
urn:cite:phoros:seqcommon.86,urn:cite:phoros:places.147,86
urn:cite:phoros:seqcommon.87,urn:cite:phoros:places.148,87
urn:cite:phoros:seqcommon.88,urn:cite:phoros:places.149,88
urn:cite:phoros:seqcommon.89,urn:cite:phoros:places.150,89
urn:cite:phoros:seqcommon.90,urn:cite:phoros:places.51,90
urn:cite:phoros:seqcommon.91,urn:cite:phoros:places.15,91
urn:cite:phoros:seqcommon.92,urn:cite:phoros:places.16,92
urn:cite:phoros:seqcommon.93,urn:cite:phoros:places.16,93
urn:cite:phoros:seqcommon.94,urn:cite:phoros:places.90,94
urn:cite:phoros:seqcommon.95,urn:cite:phoros:places.100,95
urn:cite:phoros:seqcommon.96,urn:cite:phoros:places.38,96
