URN,Caption,Rights
urn:cite:shotimg:atl.ATL001,ATL Plate I:  drawing of text of all four sides of stele 1,Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL002,ATL Plate II:  diagram showing position of fragments of stele 1,Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL003,"ATL Plate III:  lists 1 and 2, obverse and right lateral faces",Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL004,ATL Plate IV: list 3 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL005,ATL Plate V:  list 4 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL006,ATL Plate VI:  list 5 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL007,ATL Plate VII:  list 7 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL008,ATL Plate VIII:  list 8 (obverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL009,ATL Plate IX:  list 9 (reverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL010,ATL Plate X:  list 10 (reverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL011,ATL Plate XI:  list 11 (reverse of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL014,ATL Plate XIV:  list 14 (left lateral face of first stele),Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.ATL017,ATL Plate XVII:  diagram showing position of fragments of stele 2,Scanned from drawing in ATL vol. 1
urn:cite:shotimg:atl.atl-wmc0001,Detail from stele 2.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list-1.JPG)
urn:cite:shotimg:atl.atl-wmc0002,Overview of stele 1.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list-2.JPG)
urn:cite:shotimg:atl.atl-wmc0003,Detail from stele 1.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list-3.JPG)
urn:cite:shotimg:atl.atl-wmc0004,Overview of stele 2.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list_2-1.JPG)
urn:cite:shotimg:atl.atl-wmc0005,Detail from stele 2.,Released under terms of a Creative Commons Attribution-Share Alike 3.0 Unported by the photographer Marsyas (wmc filename: EPMA-IGI(3)259-272-Tribute_list_2-2.JPG)
urn:cite:shotimg:atl.DSCN8648,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8660,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
