Document,Monument
urn:cite:phoros:documents.stele1_year1,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year10,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year11,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year12,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year13,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year14,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year15,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year16,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year17,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year19,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year2,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year20,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year21,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year22,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year23,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year3,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year4,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year5,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year7,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year8,urn:cite:phoros:phorosmonn.stele1
urn:cite:phoros:documents.stele1_year9,urn:cite:phoros:phorosmonn.stele1
