Payment,TextPassage
urn:cite:phoros:payrec.1,urn:cts:phoros:stele1.year:
urn:cite:phoros:payrec.2,urn:cts:phoros:stele1.year:front.1.1
urn:cite:phoros:payrec.3,urn:cts:phoros:stele1.year:front.1.14
urn:cite:phoros:payrec.4,urn:cts:phoros:stele1.year:front.1.15
urn:cite:phoros:payrec.5,urn:cts:phoros:stele1.year:front.1.16
urn:cite:phoros:payrec.6,urn:cts:phoros:stele1.year:front.1.17
urn:cite:phoros:payrec.7,urn:cts:phoros:stele1.year:front.1.18
urn:cite:phoros:payrec.8,urn:cts:phoros:stele1.year:front.1.19
urn:cite:phoros:payrec.9,urn:cts:phoros:stele1.year:front.1.21
urn:cite:phoros:payrec.10,urn:cts:phoros:stele1.year:front.1.22
urn:cite:phoros:payrec.11,urn:cts:phoros:stele1.year:front.1.23
urn:cite:phoros:payrec.12,urn:cts:phoros:stele1.year:front.1.24
urn:cite:phoros:payrec.13,urn:cts:phoros:stele1.year:front.1.25
urn:cite:phoros:payrec.14,urn:cts:phoros:stele1.year:front.1.26
urn:cite:phoros:payrec.15,urn:cts:phoros:stele1.year:front.1.27
urn:cite:phoros:payrec.16,urn:cts:phoros:stele1.year:front.1.28
urn:cite:phoros:payrec.17,urn:cts:phoros:stele1.year:front.2.7
urn:cite:phoros:payrec.18,urn:cts:phoros:stele1.year:front.2.8
urn:cite:phoros:payrec.19,urn:cts:phoros:stele1.year:front.2.9
urn:cite:phoros:payrec.20,urn:cts:phoros:stele1.year:front.2.10
urn:cite:phoros:payrec.21,urn:cts:phoros:stele1.year:front.2.11
urn:cite:phoros:payrec.22,urn:cts:phoros:stele1.year:front.2.12
urn:cite:phoros:payrec.23,urn:cts:phoros:stele1.year:front.2.13
urn:cite:phoros:payrec.24,urn:cts:phoros:stele1.year:front.2.14
urn:cite:phoros:payrec.25,urn:cts:phoros:stele1.year:front.2.15
urn:cite:phoros:payrec.26,urn:cts:phoros:stele1.year:front.2.16
urn:cite:phoros:payrec.27,urn:cts:phoros:stele1.year:front.2.17
urn:cite:phoros:payrec.28,urn:cts:phoros:stele1.year:front.2.18
urn:cite:phoros:payrec.29,urn:cts:phoros:stele1.year:front.2.19
urn:cite:phoros:payrec.30,urn:cts:phoros:stele1.year:front.2.25
urn:cite:phoros:payrec.31,urn:cts:phoros:stele1.year:front.2.26
urn:cite:phoros:payrec.32,urn:cts:phoros:stele1.year:front.2.27
urn:cite:phoros:payrec.33,urn:cts:phoros:stele1.year:front.2.28
urn:cite:phoros:payrec.34,urn:cts:phoros:stele1.year:front.2.29
urn:cite:phoros:payrec.35,urn:cts:phoros:stele1.year:front.3.12
urn:cite:phoros:payrec.36,urn:cts:phoros:stele1.year:front.3.13
urn:cite:phoros:payrec.37,urn:cts:phoros:stele1.year:front.3.14
urn:cite:phoros:payrec.38,urn:cts:phoros:stele1.year:front.3.15
urn:cite:phoros:payrec.39,urn:cts:phoros:stele1.year:front.3.16
urn:cite:phoros:payrec.40,urn:cts:phoros:stele1.year:front.3.17
urn:cite:phoros:payrec.41,urn:cts:phoros:stele1.year:front.3.20
urn:cite:phoros:payrec.42,urn:cts:phoros:stele1.year:front.3.21
urn:cite:phoros:payrec.43,urn:cts:phoros:stele1.year:front.3.22
urn:cite:phoros:payrec.44,urn:cts:phoros:stele1.year:front.3.23
urn:cite:phoros:payrec.45,urn:cts:phoros:stele1.year:front.3.24
urn:cite:phoros:payrec.46,urn:cts:phoros:stele1.year:front.3.25
urn:cite:phoros:payrec.47,urn:cts:phoros:stele1.year:front.3.26
urn:cite:phoros:payrec.48,urn:cts:phoros:stele1.year:front.3.27
urn:cite:phoros:payrec.49,urn:cts:phoros:stele1.year:front.3.28
urn:cite:phoros:payrec.50,urn:cts:phoros:stele1.year:front.3.29
urn:cite:phoros:payrec.51,urn:cts:phoros:stele1.year:front.4.5
urn:cite:phoros:payrec.52,urn:cts:phoros:stele1.year:front.4.6
urn:cite:phoros:payrec.53,urn:cts:phoros:stele1.year:front.4.7
urn:cite:phoros:payrec.54,urn:cts:phoros:stele1.year:front.4.8
urn:cite:phoros:payrec.55,urn:cts:phoros:stele1.year:front.4.9
urn:cite:phoros:payrec.56,urn:cts:phoros:stele1.year:front.4.10
urn:cite:phoros:payrec.57,urn:cts:phoros:stele1.year:front.4.11
urn:cite:phoros:payrec.58,urn:cts:phoros:stele1.year:front.4.12
urn:cite:phoros:payrec.59,urn:cts:phoros:stele1.year:front.4.13
urn:cite:phoros:payrec.60,urn:cts:phoros:stele1.year:front.4.14
urn:cite:phoros:payrec.61,urn:cts:phoros:stele1.year:front.4.15
urn:cite:phoros:payrec.62,urn:cts:phoros:stele1.year:front.4.16
urn:cite:phoros:payrec.63,urn:cts:phoros:stele1.year:front.4.17
urn:cite:phoros:payrec.64,urn:cts:phoros:stele1.year:front.4.18
urn:cite:phoros:payrec.65,urn:cts:phoros:stele1.year:front.4.19
urn:cite:phoros:payrec.66,urn:cts:phoros:stele1.year:front.4.20
urn:cite:phoros:payrec.67,urn:cts:phoros:stele1.year:front.4.21
urn:cite:phoros:payrec.68,urn:cts:phoros:stele1.year:front.4.22
urn:cite:phoros:payrec.69,urn:cts:phoros:stele1.year:front.4.23
urn:cite:phoros:payrec.70,urn:cts:phoros:stele1.year:front.4.24
urn:cite:phoros:payrec.71,urn:cts:phoros:stele1.year:front.4.25
urn:cite:phoros:payrec.72,urn:cts:phoros:stele1.year:front.4.26
urn:cite:phoros:payrec.73,urn:cts:phoros:stele1.year:front.4.27
urn:cite:phoros:payrec.74,urn:cts:phoros:stele1.year:front.4.28
urn:cite:phoros:payrec.75,urn:cts:phoros:stele1.year:front.4.29
urn:cite:phoros:payrec.76,urn:cts:phoros:stele1.year:front.5.5
urn:cite:phoros:payrec.77,urn:cts:phoros:stele1.year:front.5.6
urn:cite:phoros:payrec.78,urn:cts:phoros:stele1.year:front.5.7
urn:cite:phoros:payrec.79,urn:cts:phoros:stele1.year:front.5.8
urn:cite:phoros:payrec.80,urn:cts:phoros:stele1.year:front.5.9
urn:cite:phoros:payrec.81,urn:cts:phoros:stele1.year:front.5.10
urn:cite:phoros:payrec.82,urn:cts:phoros:stele1.year:front.5.11
urn:cite:phoros:payrec.83,urn:cts:phoros:stele1.year:front.5.12
urn:cite:phoros:payrec.84,urn:cts:phoros:stele1.year:front.5.13
urn:cite:phoros:payrec.85,urn:cts:phoros:stele1.year:front.5.14
urn:cite:phoros:payrec.86,urn:cts:phoros:stele1.year:front.5.15
urn:cite:phoros:payrec.87,urn:cts:phoros:stele1.year:front.5.16
urn:cite:phoros:payrec.88,urn:cts:phoros:stele1.year:front.5.17
urn:cite:phoros:payrec.89,urn:cts:phoros:stele1.year:front.5.18
urn:cite:phoros:payrec.90,urn:cts:phoros:stele1.year:front.5.19
