StoneURN,ImgURN
urn:cite:phoros:stones.atl43,"urn:cite:shotimg:atl.DSCN8706@0.0133,0.08,0.5783,0.7222"
urn:cite:phoros:stones.atl45,"urn:cite:shotimg:atl.DSCN8706@0.5617,0.1578,0.435,0.7156"
urn:cite:phoros:stones.atl97,"urn:cite:shotimg:atl.ATL001@0.0991,0.3079,0.0541,0.0537"
urn:cite:phoros:stones.atl83,"urn:cite:shotimg:atl.ATL001@0.012,0.4732,0.0501,0.0503"
urn:cite:phoros:stones.atl120,"urn:cite:shotimg:atl.ATL001@0.1021,0.5243,0.0591,0.057"
urn:cite:phoros:stones.atl128,"urn:cite:shotimg:atl.ATL001@0.1191,0.5982,0.0561,0.0386"
urn:cite:phoros:stones.atl133,"urn:cite:shotimg:atl.ATL001@0.2402,0.5965,0.032,0.0419"
urn:cite:phoros:stones.atl137,"urn:cite:shotimg:atl.ATL001@0.0841,0.6644,0.049,0.0537"
urn:cite:phoros:stones.atl163,"urn:cite:shotimg:atl.ATL001@0.4204,0.3289,0.036,0.0302"
urn:cite:phoros:stones.atl118,"urn:cite:shotimg:atl.ATL001@0.3043,0.4765,0.1321,0.0923"
urn:cite:phoros:stones.atl11,"urn:cite:shotimg:atl.ATL001@0.01,0.0604,0.1321,0.1334"
urn:cite:phoros:stones.atl90,"urn:cite:shotimg:atl.ATL001@0.0811,0.1065,0.0671,0.0596"
urn:cite:phoros:stones.atl98,"urn:cite:shotimg:atl.ATL001@0.1451,0.2995,0.0591,0.0403"
urn:cite:phoros:stones.atl109,"urn:cite:shotimg:atl.ATL001@0.0511,0.4337,0.029,0.0268"
urn:cite:phoros:stones.atl132,"urn:cite:shotimg:atl.ATL001@0.2182,0.5923,0.028,0.0487"
urn:cite:phoros:stones.atl117,"urn:cite:shotimg:atl.ATL001@0.3363,0.4673,0.0691,0.0453"
urn:cite:phoros:stones.atl61,"urn:cite:shotimg:atl.ATL001@0.4555,0.7592,0.036,0.0428"
urn:cite:phoros:stones.atl63,"urn:cite:shotimg:atl.ATL001@0.4605,0.8456,0.033,0.0436"
urn:cite:phoros:stones.atl22,"urn:cite:shotimg:atl.ATL001@0.5676,0.328,0.0831,0.0713"
urn:cite:phoros:stones.atl32,"urn:cite:shotimg:atl.ATL001@0.5906,0.4522,0.028,0.026"
urn:cite:phoros:stones.atl34,"urn:cite:shotimg:atl.ATL001@0.5796,0.4664,0.049,0.0587"
urn:cite:phoros:stones.atl91,"urn:cite:shotimg:atl.ATL001@0.1572,0.1267,0.0881,0.0596"
urn:cite:phoros:stones.atl96,"urn:cite:shotimg:atl.ATL001@0.1391,0.2341,0.034,0.0268"
urn:cite:phoros:stones.atl107,"urn:cite:shotimg:atl.ATL001@0.1371,0.3859,0.0891,0.078"
urn:cite:phoros:stones.atl121,"urn:cite:shotimg:atl.ATL001@0.0941,0.5696,0.032,0.0176"
urn:cite:phoros:stones.atl149,"urn:cite:shotimg:atl.ATL001@0.048,0.7987,0.026,0.031"
urn:cite:phoros:stones.atl170,"urn:cite:shotimg:atl.ATL001@0.4294,0.4111,0.027,0.021"
urn:cite:phoros:stones:atl153,"urn:cite:shotimg:atl.ATL001@0.3113,0.7701,0.0831,0.0629"
urn:cite:phoros:stones.atl8,"urn:cite:shotimg:atl.ATL001@0.4565,0.193,0.1311,0.0814"
urn:cite:phoros:stones.atl28,"urn:cite:shotimg:atl.ATL001@0.4785,0.4539,0.0531,0.0487"
urn:cite:phoros:stones.atl92,"urn:cite:shotimg:atl.ATL001@0.0831,0.1527,0.0831,0.1149"
urn:cite:phoros:stones.atl79,"urn:cite:shotimg:atl.ATL001@0.023,0.2819,0.1111,0.0965"
urn:cite:phoros:stones.atl113,"urn:cite:shotimg:atl.ATL001@0.2192,0.4404,0.028,0.0319"
urn:cite:phoros:stones.atl122,"urn:cite:shotimg:atl.ATL001@0.1301,0.5252,0.048,0.0663"
urn:cite:phoros:stones.atl124,"urn:cite:shotimg:atl.ATL001@0.1602,0.5134,0.1001,0.0831"
urn:cite:phoros:stones.atl87,"urn:cite:shotimg:atl.ATL001@0.009,0.6443,0.0911,0.0856"
urn:cite:phoros:stones.atl148,"urn:cite:shotimg:atl.ATL001@0.0821,0.7651,0.046,0.0495"
urn:cite:phoros:stones.atl155,"urn:cite:shotimg:atl.ATL001@0.2222,0.8372,0.0731,0.0629"
urn:cite:phoros:stones.atl158,"urn:cite:shotimg:atl.ATL001@0.4034,0.1007,0.037,0.0277"
urn:cite:phoros:stones.atl161,"urn:cite:shotimg:atl.ATL001@0.3944,0.2911,0.045,0.0487"
urn:cite:phoros:stones.atl108,"urn:cite:shotimg:atl.ATL001@0.3383,0.396,0.0851,0.0554"
urn:cite:phoros:stones.atl93,"urn:cite:shotimg:atl.ATL001@0.1532,0.2072,0.0721,0.052"
urn:cite:phoros:stones.atl104,"urn:cite:shotimg:atl.ATL001@0.2442,0.3263,0.0731,0.0604"
urn:cite:phoros:stones.atl126,"urn:cite:shotimg:atl.ATL001@0.2402,0.5495,0.0861,0.0898"
urn:cite:phoros:stones.atl130,"urn:cite:shotimg:atl.ATL001@0.1502,0.6225,0.024,0.0277"
urn:cite:phoros:stones.atl142,"urn:cite:shotimg:atl.ATL001@0.023,0.7005,0.0501,0.0419"
urn:cite:phoros:stones.atl150,"urn:cite:shotimg:atl.ATL001@0.0821,0.7651,0.046,0.0495"
urn:cite:phoros:stones.atl154,"urn:cite:shotimg:atl.ATL001@0.1902,0.8381,0.039,0.0403"
urn:cite:phoros:stones.atl95,"urn:cite:shotimg:atl.ATL001@0.3233,0.1133,0.1021,0.1015"
urn:cite:phoros:stones.atl164,"urn:cite:shotimg:atl.ATL001@0.4494,0.3205,0.027,0.0336"
urn:cite:phoros:stones.atl177,"urn:cite:shotimg:atl.ATL001@0.3734,0.6535,0.045,0.0344"
urn:cite:phoros:stones.atl179,"urn:cite:shotimg:atl.ATL001@0.3834,0.8347,0.021,0.031"
urn:cite:phoros:stones.atl172,"urn:cite:shotimg:atl.ATL001@0.4525,0.4438,0.046,0.0453"
urn:cite:phoros:stones.atl63,"urn:cite:shotimg:atl.ATL001@0.5065,0.8456,0.023,0.0344"
urn:cite:phoros:stones.atl99,"urn:cite:shotimg:atl.ATL001@0.1431,0.3196,0.035,0.0252"
urn:cite:phoros:stones.atl110,"urn:cite:shotimg:atl.ATL001@0.0571,0.4589,0.03,0.0319"
urn:cite:phoros:stones.atl129,"urn:cite:shotimg:atl.ATL001@0.1712,0.5914,0.0501,0.068"
urn:cite:phoros:stones.atl88,"urn:cite:shotimg:atl.ATL001@0.007,0.7089,0.0511,0.0654"
urn:cite:phoros:stones.atl144,"urn:cite:shotimg:atl.ATL001@0.023,0.7005,0.0501,0.0419"
urn:cite:phoros:stones.atl168,"urn:cite:shotimg:atl.ATL001@0.4054,0.3733,0.0651,0.0428"
