urn:cts:phoros:stele1.year1:front.1.14,urn:cite:phoros:places.1
urn:cts:phoros:stele1.year1:front.1.15,urn:cite:phoros:places.2
urn:cts:phoros:stele1.year1:front.1.16,urn:cite:phoros:places.3
urn:cts:phoros:stele1.year1:front.1.22,urn:cite:phoros:places.4
urn:cts:phoros:stele1.year1:front.1.23,urn:cite:phoros:places.5
urn:cts:phoros:stele1.year1:front.1.25,urn:cite:phoros:places.6
urn:cts:phoros:stele1.year1:front.1.26,urn:cite:phoros:places.7
urn:cts:phoros:stele1.year1:front.2.7,urn:cite:phoros:places.8
urn:cts:phoros:stele1.year1:front.2.8,urn:cite:phoros:places.8
urn:cts:phoros:stele1.year1:front.2.9,urn:cite:phoros:places.9
urn:cts:phoros:stele1.year1:front.2.10,urn:cite:phoros:places.10
urn:cts:phoros:stele1.year1:front.2.13,urn:cite:phoros:places.11
urn:cts:phoros:stele1.year1:front.2.14,urn:cite:phoros:places.12
urn:cts:phoros:stele1.year1:front.2.15,urn:cite:phoros:places.13
urn:cts:phoros:stele1.year1:front.2.25,urn:cite:phoros:places.14
urn:cts:phoros:stele1.year1:front.2.25,urn:cite:phoros:places.15
urn:cts:phoros:stele1.year1:front.2.26,urn:cite:phoros:places.15
urn:cts:phoros:stele1.year1:front.2.26,urn:cite:phoros:places.16
urn:cts:phoros:stele1.year1:front.2.27,urn:cite:phoros:places.17
urn:cts:phoros:stele1.year1:front.2.28,urn:cite:phoros:places.18
urn:cts:phoros:stele1.year1:front.2.29,urn:cite:phoros:places.19
urn:cts:phoros:stele1.year1:front.3.16,urn:cite:phoros:places.20
urn:cts:phoros:stele1.year1:front.3.17,urn:cite:phoros:places.21
urn:cts:phoros:stele1.year1:front.3.20,urn:cite:phoros:places.22
urn:cts:phoros:stele1.year1:front.3.21,urn:cite:phoros:places.23
urn:cts:phoros:stele1.year1:front.3.22,urn:cite:phoros:places.24
urn:cts:phoros:stele1.year1:front.3.23,urn:cite:phoros:places.25
urn:cts:phoros:stele1.year1:front.3.24,urn:cite:phoros:places.26
urn:cts:phoros:stele1.year1:front.3.25,urn:cite:phoros:places.27
urn:cts:phoros:stele1.year1:front.3.26,urn:cite:phoros:places.28
urn:cts:phoros:stele1.year1:front.3.27,urn:cite:phoros:places.29
urn:cts:phoros:stele1.year1:front.3.28,urn:cite:phoros:places.30
urn:cts:phoros:stele1.year1:front.3.29,urn:cite:phoros:places.31
urn:cts:phoros:stele1.year1:front.4.5,urn:cite:phoros:places.32
urn:cts:phoros:stele1.year1:front.4.6,urn:cite:phoros:places.33
urn:cts:phoros:stele1.year1:front.4.7,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year1:front.4.8,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year1:front.4.9,urn:cite:phoros:places.35
urn:cts:phoros:stele1.year1:front.4.10,urn:cite:phoros:places.36
urn:cts:phoros:stele1.year1:front.4.11,urn:cite:phoros:places.37
urn:cts:phoros:stele1.year1:front.4.12,urn:cite:phoros:places.38
urn:cts:phoros:stele1.year1:front.4.13,urn:cite:phoros:places.38
urn:cts:phoros:stele1.year1:front.4.14,urn:cite:phoros:places.39
urn:cts:phoros:stele1.year1:front.4.15,urn:cite:phoros:places.40
