siteUrn,siteName,year,obols,change,chgamt,lon,lat,payrec,seq,nameconf,amtconf
urn:cite:phoros:places.1,Stageira,1,100,same,,23.795768999999996,40.592218000000003,urn:cite:phoros:payrec.2,2,Restored,Restored
urn:cite:phoros:places.2,Pharbelos,1,100,same,,,,urn:cite:phoros:payrec.3,3,Restored,Restored
urn:cite:phoros:places.3,Elaia,1,4500,same,,,,urn:cite:phoros:payrec.4,4,Restored,Confident
urn:cite:phoros:places.4,Ephesos,1,,,,27.351764500000002,37.94583755,urn:cite:phoros:payrec.9,9,TBA,TBA
urn:cite:phoros:places.6,Naxia,1,100,same,,,,urn:cite:phoros:payrec.12,12,Restored,Extant
urn:cite:phoros:places.7,Madnasa/Medmassa,1,400,same,,27.359987,37.088887,urn:cite:phoros:payrec.13,13,Restored,Extant
urn:cite:phoros:places.10,Therambos,1,640,same,,23.66667,39.950000000000003,urn:cite:phoros:payrec.19,19,Restored,Extant
urn:cite:phoros:places.11,Pitane,1,5400,same,,26.937453000000001,38.928297000000001,urn:cite:phoros:payrec.22,22,Restored,Extant
urn:cite:phoros:places.12,Thyssos,1,200,same,,24.158674000000001,40.288017000000004,urn:cite:phoros:payrec.23,23,Restored,Confident
urn:cite:phoros:places.13,Torone,1,1800,same,,23.900812299999998,39.977053400000003,urn:cite:phoros:payrec.24,24,Restored,Extant
urn:cite:phoros:places.18,Chersonese,1,350,same,,,,urn:cite:phoros:payrec.32,32,Extant,Extant
urn:cite:phoros:places.19,Abydos,1,400,same,,26.411297999999999,40.194214000000002,urn:cite:phoros:payrec.33,33,Extant,Extant
urn:cite:phoros:places.20,Kameiros,1,600,same,,27.921195000000001,36.336185,urn:cite:phoros:payrec.38,38,Extant,Extant
urn:cite:phoros:places.21,Krya,1,200,same,,,,urn:cite:phoros:payrec.39,39,Extant,Confident
urn:cite:phoros:places.22,Peparethos,1,100,same,,23.719615999999998,39.119095999999999,urn:cite:phoros:payrec.40,40,Extant,Confident
urn:cite:phoros:places.23,Kolophon,1,,,,27.157222999999998,38.090825799999998,urn:cite:phoros:payrec.41,41,Extant,Extant
urn:cite:phoros:places.24,Notion,1,1000,same,,27.197500000000002,37.992800000000003,urn:cite:phoros:payrec.42,42,TBA,TBA
urn:cite:phoros:places.25,Diosera,1,600,same,,,,urn:cite:phoros:payrec.43,43,Extant,Extant
urn:cite:phoros:places.26,Spartolos,1,900,same,,23.159842999999999,40.316347,urn:cite:phoros:payrec.44,44,Extant,Extant
urn:cite:phoros:places.27,Hairai,1,200,same,,,,urn:cite:phoros:payrec.45,45,Extant,Extant
urn:cite:phoros:places.28,Lindos Oiai,1,,,,,,urn:cite:phoros:payrec.46,46,Extant,Extant
urn:cite:phoros:places.29,Astakos,1,100,same,,29.928794,40.714557999999997,urn:cite:phoros:payrec.47,47,TBA,TBA
urn:cite:phoros:places.30,Neapolis,1,,,,,,urn:cite:phoros:payrec.48,48,Confident,Confident
urn:cite:phoros:places.33,Lindos,1,900,same,,28.088177699999999,36.091323899999999,urn:cite:phoros:payrec.51,51,Extant,Confident
urn:cite:phoros:places.34,Oine in Ikaros,1,100,same,,,,urn:cite:phoros:payrec.52,52,Extant,Restored
urn:cite:phoros:places.34,Oine in Ikaros,1,3600,same,,,,urn:cite:phoros:payrec.53,53,Extant,Extant
