payrec	sitename	year	obols	payseq	lon	lat	tbs	txt	psg	change	delta	amtconf	nameconf	
urn:cite:phoros:payrec.393		5	250	393			urn:cite:phoros:documents.stele1_year4	"ΚΑΣΟΛΑΒΕΣ"	urn:cts:phoros:stele1.year5:front.2.32	"same"	"same"			
urn:cite:phoros:payrec.557	"Spartolos"	7	1200	557	23.159842999999999	40.316347	urn:cite:phoros:documents.stele1_year7	"ΣΠΑΡΤΟΛΙΟΙ"	urn:cts:phoros:stele1.year7:front.2.34	"same"	"same"			
urn:cite:phoros:payrec.431	"Gentinos"	5	50	431	26.279146000000001	39.876942999999997	urn:cite:phoros:documents.stele1_year5	"ΓΕΝΤΙΝΙΟ Ι"	urn:cts:phoros:stele1.year5:front.3.38	"same"	"same"			
urn:cite:phoros:payrec.739	"Latmos"	8	600	739	27.537659999999999	37.498075999999998	urn:cite:phoros:documents.stele1_year8	"ΛΑΤΜΙΟΙ"	urn:cts:phoros:stele1.year8:right.1.109	"same"	"same"			
urn:cite:phoros:payrec.195	"Daskyleion in Propontidi"	3		195	28.674195999999998	40.377645000000001	urn:cite:phoros:documents.stele1_year3	"ΕΝΤΕΙΠΡΟΠΟΝΤΙΔΙ"	urn:cts:phoros:stele1.year3:front.3.25					
urn:cite:phoros:payrec.813	"Madnasa/Medmassa"	8	600	813	27.359987	37.088887	urn:cite:phoros:documents.stele1_year8	"ΜΑΔΝΑΣΕΣ"	urn:cts:phoros:stele1.year8:right.2.103	"down"	"down"			
urn:cite:phoros:payrec.530	"Mydon"	7	150	530	27.690895999999999	37.598880000000001	urn:cite:phoros:documents.stele1_year7	"ΜΥΔΟΝΕΣ"	urn:cts:phoros:stele1.year7:front.2.4	"same"	"same"			
urn:cite:phoros:payrec.72		1	200	72			urn:cite:phoros:documents.stele1_year1	"ΜΥΣΙΟΙ"	urn:cts:phoros:stele1.year1:front.5.15	"same"	"same"	"Confident"	"Extant"	
urn:cite:phoros:payrec.447	"Stolos"	5	400	447	23.664835	40.369151000000002	urn:cite:phoros:documents.stele1_year5	"ΣΤΟΛΙΟΙ"	urn:cts:phoros:stele1.year5:front.4.17	"same"	"same"			
urn:cite:phoros:payrec.162	"Kalymna"	3	900	162	26.983332999999998	36.983333000000002	urn:cite:phoros:documents.stele1_year2	"ΚΑΛΥΔΝΙΟΙ"	urn:cts:phoros:stele1.year3:front.1.10	"same"	"same"			
urn:cite:phoros:payrec.403	"Aineia"	5	1800	403	22.879124000000001	40.439481000000001	urn:cite:phoros:documents.stele1_year5	"ΑΙΝΕΑΤΑΙ"	urn:cts:phoros:stele1.year5:front.3.8	"same"	"same"			
urn:cite:phoros:payrec.755	"Kalymna"	8	900	755	26.983332999999998	36.983333000000002	urn:cite:phoros:documents.stele1_year8	"ΚΑΛΥΔΝΙΟΙ"	urn:cts:phoros:stele1.year8:right.2.18	"same"	"same"			
urn:cite:phoros:payrec.398		5		398			urn:cite:phoros:documents.stele1_year4	"ΕΝΕΚΑΡΟΙ"	urn:cts:phoros:stele1.year5:front.2.37					
urn:cite:phoros:payrec.776	"Palaiperkote"	8	100	776	26.686456	40.236370000000001	urn:cite:phoros:documents.stele1_year8	"ΠΑΛΑΙΠΕΡΚΟΣΙΟΙ"	urn:cts:phoros:stele1.year8:right.2.39	"same"	"same"			
urn:cite:phoros:payrec.413		5	160	413			urn:cite:phoros:documents.stele1_year5	"ΦΕΓΕΤΙΟΙ"	urn:cts:phoros:stele1.year5:front.3.18	"same"	"same"			
urn:cite:phoros:payrec.59	"Abdera"	1	7712	59	24.983332999999998	40.950000000000003	urn:cite:phoros:documents.stele1_year1	"ΗΑΒΔΕΡΙ ΤΑΙ"	urn:cts:phoros:stele1.year1:front.5.5	"same"	"same"	"Extant"	"Confident"	
urn:cite:phoros:payrec.762	"Strepsa"	8	600	762	23.138508999999999	40.483196999999997	urn:cite:phoros:documents.stele1_year8	"ΣΤΡΕΦΣΑΙΟΙ"	urn:cts:phoros:stele1.year8:right.2.25	"same"	"same"			
urn:cite:phoros:payrec.707	"Dardanos"	8	600	707	26.374420000000001	40.079726999999998	urn:cite:phoros:documents.stele1_year8	"ΔΑΡΔΑΝΕΣ"	urn:cts:phoros:stele1.year8:right.1.74	"down"	"down"			
urn:cite:phoros:payrec.352		4	100	352			urn:cite:phoros:documents.stele1_year4	"ΚΙΛΛΑΡΕΣ"	urn:cts:phoros:stele1.year4:front.5.28	"same"	"same"			
urn:cite:phoros:payrec.761	"Spartolos"	8	1200	761	23.159842999999999	40.316347	urn:cite:phoros:documents.stele1_year8	"ΣΠΑΡΤΟΛΙΟΙ"	urn:cts:phoros:stele1.year8:right.2.24	"same"	"same"			
urn:cite:phoros:payrec.745	"Syros"	8	100	745	24.920000000000002	37.43	urn:cite:phoros:documents.stele1_year8	"ΣΥΡΙΟΙ"	urn:cts:phoros:stele1.year8:right.2.7	"down"	"down"			
urn:cite:phoros:payrec.722		8		722			urn:cite:phoros:documents.stele1_year8	"ΚΟΙΟΙ"	urn:cts:phoros:stele1.year8:right.1.92					
urn:cite:phoros:payrec.405		5	600	405			urn:cite:phoros:documents.stele1_year5	"ΔΙΚΑΙΟΠΟΛΙΤΑΙ"	urn:cts:phoros:stele1.year5:front.3.10	"down"	"down"			
urn:cite:phoros:payrec.199		3	50	199			urn:cite:phoros:documents.stele1_year3	"ΑΥΛΙΑΤΑΙΚΑΡΕΣ"	urn:cts:phoros:stele1.year3:front.3.31	"same"	"same"			
urn:cite:phoros:payrec.540	"Sane"	7	200	540	23.306117	40.098381000000003	urn:cite:phoros:documents.stele1_year7	"ΣΑΝΑΙΟΙ"	urn:cts:phoros:stele1.year7:front.2.16	"down"	"down"			
urn:cite:phoros:payrec.506	"Gryneion"	7	100	506	27.069172999999999	38.874665	urn:cite:phoros:documents.stele1_year7	"ΓΡΥΝΕΙΕΣ"	urn:cts:phoros:stele1.year7:front.1.15	"same"	"same"			
urn:cite:phoros:payrec.275	"Olophyxos"	4	200	275	24.190639000000001	40.330421999999999	urn:cite:phoros:documents.stele1_year3	"ΟΛΟΦΥΧΣΙΟΙ"	urn:cts:phoros:stele1.year4:front.1.26	"same"	"same"			
urn:cite:phoros:payrec.544		7	100	544			urn:cite:phoros:documents.stele1_year7	"ΚΟΔΑΠΕΣ"	urn:cts:phoros:stele1.year7:front.2.21	"same"	"same"			
urn:cite:phoros:payrec.562	"Stolos"	7	500	562	23.664835	40.369151000000002	urn:cite:phoros:documents.stele1_year7	"ΣΤΟΛΙΟΙ"	urn:cts:phoros:stele1.year7:front.3.2	"up"	"up"			
urn:cite:phoros:payrec.486	"Karyanda"	5	56	486	27.529585999999998	37.161848999999997	urn:cite:phoros:documents.stele1_year7	"ΚΑΡΥΑΝΔΕΣ"	urn:cts:phoros:stele1.year5:front.5.25	"down"	"down"			
urn:cite:phoros:payrec.341	"Thasthara"	4	50	341	27.643214	37.593736999999997	urn:cite:phoros:documents.stele1_year4	"ΘΑΣΘΑΡΕΣ"	urn:cts:phoros:stele1.year4:front.4.29	"same"	"same"			
urn:cite:phoros:payrec.423	"Olynthos"	5	1200	423	23.355769666666667	40.295328000000005	urn:cite:phoros:documents.stele1_year5	"ΟΛΥΝΘΙΟΙ"	urn:cts:phoros:stele1.year5:front.3.30	"same"	"same"			
urn:cite:phoros:payrec.283		4	300	283			urn:cite:phoros:documents.stele1_year3	"ΘΕΡΜΑΙΟΙ"	urn:cts:phoros:stele1.year4:front.2.2	"up"	"up"			
urn:cite:phoros:payrec.559		7	50	559			urn:cite:phoros:documents.stele1_year7	"ΚΕΔΡΙΑΤΑΙ"	urn:cts:phoros:stele1.year7:front.2.36	"down"	"down"			
urn:cite:phoros:payrec.809	"Diduma Teichos"	8	100	809	27.274404000000001	40.286031000000001	urn:cite:phoros:documents.stele1_year8	"ΔΙΔΥΜΟΤΕΙΧΙΤΑΙ"	urn:cts:phoros:stele1.year8:right.2.73	"same"	"same"			
urn:cite:phoros:payrec.391		5	100	391			urn:cite:phoros:documents.stele1_year4	"ΔΙΟΣΙΡΙΤΑΙ"	urn:cts:phoros:stele1.year5:front.2.30	"same"	"same"			
urn:cite:phoros:payrec.639	"Keos/Kea"	7	2400	639	24.333333	37.616667	urn:cite:phoros:documents.stele1_year8	"ΚΕΙΟΙ"	urn:cts:phoros:stele1.year7:front.3.39	"same"	"same"			
urn:cite:phoros:payrec.175		3	100	175			urn:cite:phoros:documents.stele1_year2	"ΣΚΑΦΣΑΙΟΙ"	urn:cts:phoros:stele1.year3:front.2.6	"same"	"same"			
urn:cite:phoros:payrec.576	"Eurumaxos"	7	100	576	25.903047000000001	40.233058	urn:cite:phoros:documents.stele1_year7	"ΕΥΡΥΜΑΧΙΤΑΙ"	urn:cts:phoros:stele1.year7:front.3.16	"same"	"same"			
urn:cite:phoros:payrec.539	"Thyssos"	7	900	539	24.158674000000001	40.288017000000004	urn:cite:phoros:documents.stele1_year7	"ΘΥΣΣΙΟΙ"	urn:cts:phoros:stele1.year7:front.2.13	"up"	"up"			
urn:cite:phoros:payrec.380	"Teos"	5	3600	380	26.785014	38.177261999999999	urn:cite:phoros:documents.stele1_year4	"ΤΕΙΟΙ"	urn:cts:phoros:stele1.year5:front.2.10	"same"	"same"			
urn:cite:phoros:payrec.643	"Gentinos"	8	50	643	26.279146000000001	39.876942999999997	urn:cite:phoros:documents.stele1_year8	"ΓΕΝΤΙΝΙΟΙ"	urn:cts:phoros:stele1.year8:right.1.7	"same"	"same"			
urn:cite:phoros:payrec.164		3	300	164			urn:cite:phoros:documents.stele1_year2	"ΚΕΔΡΙΕΤΑΙ"	urn:cts:phoros:stele1.year3:front.1.12	"same"	"same"			
urn:cite:phoros:payrec.541	"Syros"	7	100	541	24.920000000000002	37.43	urn:cite:phoros:documents.stele1_year7	"ΣΥΡΙΟΙ"	urn:cts:phoros:stele1.year7:front.2.17	"down"	"down"			
urn:cite:phoros:payrec.27		1	100	27			urn:cite:phoros:documents.stele1_year1	"ΔΙΟΣΕΡΙΤΑΙ"	urn:cts:phoros:stele1.year1:front.3.23	"same"	"same"	"Extant"	"Extant"	
urn:cite:phoros:payrec.422	"Berytis below Mt. Ida"	5		422	25.534030099999999	40.504842699999998	urn:cite:phoros:documents.stele1_year5	"ΗΥΠΟΤΕΙΙΔΕΙ"	urn:cts:phoros:stele1.year5:front.3.29					
urn:cite:phoros:payrec.302		4	7200	302			urn:cite:phoros:documents.stele1_year4	"ΚΥΜΑΙΟΙ"	urn:cts:phoros:stele1.year4:front.2.30	"same"	"same"			
urn:cite:phoros:payrec.268	"Andros"	4	7200	268	24.859999999999999	37.850000000000001	urn:cite:phoros:documents.stele1_year3	"ΑΝΔΡΙΟΙ"	urn:cts:phoros:stele1.year4:front.1.19	"same"	"same"			
urn:cite:phoros:payrec.567	"Palaiperkote"	7	50	567	26.686456	40.236370000000001	urn:cite:phoros:documents.stele1_year7	"ΠΑΛΑΙΠΕΡΚ ΟΣΙΟΙ"	urn:cts:phoros:stele1.year7:front.3.7	"down"	"down"			
