"site","name","year","obols","txt","change","sequence","payrecord"
"urn:cite:phoros:places.1","Stageira","1","100","urn:cts:phoros:stele1.year1.hc1:front.1.1","same","5","urn:cite:phoros:payrec.2"
"urn:cite:phoros:places.2","Pharbelos","1","100","urn:cts:phoros:stele1.year1.hc1:front.1.14","same","6","urn:cite:phoros:payrec.3"
"urn:cite:phoros:places.3","Elaia","1","100","urn:cts:phoros:stele1.year1.hc1:front.1.15","same","7","urn:cite:phoros:payrec.4"
"urn:cite:phoros:places.4","Ephesos","1","4500","urn:cts:phoros:stele1.year1.hc1:front.1.21","same","13","urn:cite:phoros:payrec.9"
"urn:cite:phoros:places.5","Ainos","1","7200","urn:cts:phoros:stele1.year1.hc1:front.1.22","same","14","urn:cite:phoros:payrec.10"
"urn:cite:phoros:places.6","Naxia","1","100","urn:cts:phoros:stele1.year1.hc1:front.1.24","same","16","urn:cite:phoros:payrec.12"
"urn:cite:phoros:places.7","Madnasa/Medmassa","1","1200","urn:cts:phoros:stele1.year1.hc1:front.1.25","same","17","urn:cite:phoros:payrec.13"
"urn:cite:phoros:places.10","Therambos","1","3600","urn:cts:phoros:stele1.year1.hc1:front.2.9","same","23","urn:cite:phoros:payrec.19"
"urn:cite:phoros:places.11","Pitane","1","100","urn:cts:phoros:stele1.year1.hc1:front.2.12","same","26","urn:cite:phoros:payrec.22"
"urn:cite:phoros:places.12","Thyssos","1","400","urn:cts:phoros:stele1.year1.hc1:front.2.13","same","27","urn:cite:phoros:payrec.23"
"urn:cite:phoros:places.13","Torone","1","7200","urn:cts:phoros:stele1.year1.hc1:front.2.14","same","28","urn:cite:phoros:payrec.24"
"urn:cite:phoros:places.18","Chersonese","1","10800","urn:cts:phoros:stele1.year1.hc1:front.2.27","same","36","urn:cite:phoros:payrec.32"
"urn:cite:phoros:places.19","Abydos","1","2626","urn:cts:phoros:stele1.year1.hc1:front.2.28","same","37","urn:cite:phoros:payrec.33"
"urn:cite:phoros:places.20","Kameiros","1","5400","urn:cts:phoros:stele1.year1.hc1:front.3.15","same","42","urn:cite:phoros:payrec.38"
"urn:cite:phoros:places.21","Krya","1","200","urn:cts:phoros:stele1.year1.hc1:front.3.16","same","43","urn:cite:phoros:payrec.39"
"urn:cite:phoros:places.22","Peparethos","1","1800","urn:cts:phoros:stele1.year1.hc1:front.3.17","same","44","urn:cite:phoros:payrec.40"
"urn:cite:phoros:places.23","Kolophon","1","1800","urn:cts:phoros:stele1.year1.hc1:front.3.20","same","45","urn:cite:phoros:payrec.41"
"urn:cite:phoros:places.24","Notion","1","200","urn:cts:phoros:stele1.year1.hc1:front.3.21","same","46","urn:cite:phoros:payrec.42"
"urn:cite:phoros:places.25","Diosera","1","100","urn:cts:phoros:stele1.year1.hc1:front.3.22","same","47","urn:cite:phoros:payrec.43"
"urn:cite:phoros:places.26","Spartolos","1","1200","urn:cts:phoros:stele1.year1.hc1:front.3.23","same","48","urn:cite:phoros:payrec.44"
"urn:cite:phoros:places.27","Hairai","1","1800","urn:cts:phoros:stele1.year1.hc1:front.3.24","same","49","urn:cite:phoros:payrec.45"
"urn:cite:phoros:places.28","Lindos Oiai","1","330","urn:cts:phoros:stele1.year1.hc1:front.3.25","same","50","urn:cite:phoros:payrec.46"
"urn:cite:phoros:places.29","Astakos","1","900","urn:cts:phoros:stele1.year1.hc1:front.3.26","same","51","urn:cite:phoros:payrec.47"
"urn:cite:phoros:places.30","Neapolis","1","350","urn:cts:phoros:stele1.year1.hc1:front.3.27","same","52","urn:cite:phoros:payrec.48"
"urn:cite:phoros:places.33","Lindos","1","5070","urn:cts:phoros:stele1.year1.hc1:front.4.5","same","55","urn:cite:phoros:payrec.51"
"urn:cite:phoros:places.34","Oine in Ikaros","1","800","urn:cts:phoros:stele1.year1.hc1:front.4.7","same","57","urn:cite:phoros:payrec.53"
"urn:cite:phoros:places.35","Assos","1","600","urn:cts:phoros:stele1.year1.hc1:front.4.8","same","58","urn:cite:phoros:payrec.54"
"urn:cite:phoros:places.36","Neandreia","1","800","urn:cts:phoros:stele1.year1.hc1:front.4.9","same","59","urn:cite:phoros:payrec.55"
"urn:cite:phoros:places.37","Lamponeia","1","100","urn:cts:phoros:stele1.year1.hc1:front.4.10","same","60","urn:cite:phoros:payrec.56"
"urn:cite:phoros:places.38","Halikarnassos","1","1000","urn:cts:phoros:stele1.year1.hc1:front.4.12","same","62","urn:cite:phoros:payrec.58"
"urn:cite:phoros:places.39","Strepsa","1","600","urn:cts:phoros:stele1.year1.hc1:front.4.13","same","63","urn:cite:phoros:payrec.59"
"urn:cite:phoros:places.40","Palepsos","1","900","urn:cts:phoros:stele1.year1.hc1:front.4.14","same","64","urn:cite:phoros:payrec.60"
"urn:cite:phoros:places.41","Kyrbissos","1","200","urn:cts:phoros:stele1.year1.hc1:front.4.15","same","65","urn:cite:phoros:payrec.61"
"urn:cite:phoros:places.42","Diduma Teichos","1","100","urn:cts:phoros:stele1.year1.hc1:front.4.17","same","67","urn:cite:phoros:payrec.63"
"urn:cite:phoros:places.43","Dikaiopolis","1","2400","urn:cts:phoros:stele1.year1.hc1:front.4.19","same","69","urn:cite:phoros:payrec.65"
"urn:cite:phoros:places.44","Klazomenia","1","900","urn:cts:phoros:stele1.year1.hc1:front.4.20","same","70","urn:cite:phoros:payrec.66"
"urn:cite:phoros:places.46","Karbasyanda","1","100","urn:cts:phoros:stele1.year1.hc1:front.4.22","same","72","urn:cite:phoros:payrec.68"
"urn:cite:phoros:places.47","Phaselis","1","3600","urn:cts:phoros:stele1.year1.hc1:front.4.23","same","73","urn:cite:phoros:payrec.69"
"urn:cite:phoros:places.48","Termera","1","1500","urn:cts:phoros:stele1.year1.hc1:front.4.24","same","74","urn:cite:phoros:payrec.70"
"urn:cite:phoros:places.49","Kebrene","1","1800","urn:cts:phoros:stele1.year1.hc1:front.4.25","same","75","urn:cite:phoros:payrec.71"
"urn:cite:phoros:places.50","Kasolaba","1","246","urn:cts:phoros:stele1.year1.hc1:front.4.26","same","76","urn:cite:phoros:payrec.72"
"urn:cite:phoros:places.51","Dikaia by Abdera","1","300","urn:cts:phoros:stele1.year1.hc1:front.4.28","same","78","urn:cite:phoros:payrec.74"
"urn:cite:phoros:places.52","Abdera","1","7712","urn:cts:phoros:stele1.year1.hc1:front.4.29","same","79","urn:cite:phoros:payrec.75"
"urn:cite:phoros:places.55","Asseritis","1","1600","urn:cts:phoros:stele1.year1.hc1:front.5.7","same","82","urn:cite:phoros:payrec.78"
"urn:cite:phoros:places.56","Sermylia","1","4632","urn:cts:phoros:stele1.year1.hc1:front.5.8","same","83","urn:cite:phoros:payrec.79"
"urn:cite:phoros:places.59","Polichne","1","1400","urn:cts:phoros:stele1.year1.hc1:front.5.11","same","86","urn:cite:phoros:payrec.82"
"urn:cite:phoros:places.61","Thasos","1","1800","urn:cts:phoros:stele1.year1.hc1:front.5.13","same","88","urn:cite:phoros:payrec.84"
"urn:cite:phoros:places.62","Mysia","1","200","urn:cts:phoros:stele1.year1.hc1:front.5.14","same","89","urn:cite:phoros:payrec.85"
"urn:cite:phoros:places.63","Pikres Syangela","1","300","urn:cts:phoros:stele1.year1.hc1:front.5.15","same","90","urn:cite:phoros:payrec.86"
"urn:cite:phoros:places.64","Kedriai","1","300","urn:cts:phoros:stele1.year1.hc1:front.5.16","same","91","urn:cite:phoros:payrec.87"
"urn:cite:phoros:places.65","Keramos","1","900","urn:cts:phoros:stele1.year1.hc1:front.5.17","same","92","urn:cite:phoros:payrec.88"
"urn:cite:phoros:places.67","Kyllandos","1","1200","urn:cts:phoros:stele1.year1.hc1:front.5.19","same","94","urn:cite:phoros:payrec.90"
"urn:cite:phoros:places.68","Chios in Karia","1","200","urn:cts:phoros:stele1.year1.hc1:front.5.20","same","95","urn:cite:phoros:payrec.91"
"urn:cite:phoros:places.70","Narisbara/Narasa/Narasar","1","100","urn:cts:phoros:stele1.year1.hc1:front.5.21","same","96","urn:cite:phoros:payrec.92"
"urn:cite:phoros:places.71","Mydon","1","150","urn:cts:phoros:stele1.year1.hc1:front.6.5","same","97","urn:cite:phoros:payrec.93"
"urn:cite:phoros:places.72","Kios","1","100","urn:cts:phoros:stele1.year1.hc1:front.6.6","same","98","urn:cite:phoros:payrec.94"
"urn:cite:phoros:places.73","Artake","1","200","urn:cts:phoros:stele1.year1.hc1:front.6.7","same","99","urn:cite:phoros:payrec.95"
"urn:cite:phoros:places.73","Artake","1","200","urn:cts:phoros:stele1.year1.hc1:front.6.7","same","100","urn:cite:phoros:payrec.95"
"urn:cite:phoros:places.74","Neapolis in Thrace","1","100","urn:cts:phoros:stele1.year1.hc1:front.6.9","same","101","urn:cite:phoros:payrec.97"
"urn:cite:phoros:places.75","Berytis below Mt. Ida","1","100","urn:cts:phoros:stele1.year1.hc1:front.6.11","same","103","urn:cite:phoros:payrec.99"
"urn:cite:phoros:places.76","Auliataι Kares","1","50","urn:cts:phoros:stele1.year1.hc1:front.6.12","same","104","urn:cite:phoros:payrec.100"
"urn:cite:phoros:places.77","Ios","1","600","urn:cts:phoros:stele1.year1.hc1:front.6.13","same","105","urn:cite:phoros:payrec.101"
"urn:cite:phoros:places.78","Parion","1","600","urn:cts:phoros:stele1.year1.hc1:front.6.14","same","106","urn:cite:phoros:payrec.102"
"urn:cite:phoros:places.79","Daskyleion in Propontidi","1","50","urn:cts:phoros:stele1.year1.hc1:front.6.16","same","108","urn:cite:phoros:payrec.104"
"urn:cite:phoros:places.80","Aigina","1","3000","urn:cts:phoros:stele1.year1.hc1:front.6.17","same","109","urn:cite:phoros:payrec.105"
"urn:cite:phoros:places.81","Lero","1","1800","urn:cts:phoros:stele1.year1.hc1:front.6.19","same","111","urn:cite:phoros:payrec.107"
"urn:cite:phoros:places.83","Lepsimandos","2","103","urn:cts:phoros:stele1.year2.hc1:header.1.11","same","2","urn:cite:phoros:payrec.111"
"urn:cite:phoros:places.84","Erine","2","413","urn:cts:phoros:stele1.year2.hc1:header.1.12","same","3","urn:cite:phoros:payrec.112"
"urn:cite:phoros:places.85","Amynanda","2","305","urn:cts:phoros:stele1.year2.hc1:header.1.13","same","4","urn:cite:phoros:payrec.113"
"urn:cite:phoros:places.86","Paktyes Idyma","2","689","urn:cts:phoros:stele1.year2.hc1:header.1.14","same","5","urn:cite:phoros:payrec.114"
"urn:cite:phoros:places.87","Uranium","2","103","urn:cts:phoros:stele1.year2.hc1:header.1.15","same","6","urn:cite:phoros:payrec.115"
"urn:cite:phoros:places.88","Oula","2","103","urn:cts:phoros:stele1.year2.hc1:header.1.16","same","7","urn:cite:phoros:payrec.116"
"urn:cite:phoros:places.89","Tarbana","2","103","urn:cts:phoros:stele1.year2.hc1:header.1.17","same","8","urn:cite:phoros:payrec.117"
"urn:cite:phoros:places.90","Kodapa","2","100","urn:cts:phoros:stele1.year2.hc1:header.1.18","same","9","urn:cite:phoros:payrec.118"
"urn:cite:phoros:places.91","Arisbe","2","1200","urn:cts:phoros:stele1.year2.hc1:header.3.3","same","13","urn:cite:phoros:payrec.122"
"urn:cite:phoros:places.80","Aigina","2","18000","urn:cts:phoros:stele1.year2.hc1:header.4.15","up","14","urn:cite:phoros:payrec.123"
"urn:cite:phoros:places.9","Skione","2","3600","urn:cts:phoros:stele1.year2.hc1:header.4.16","same","15","urn:cite:phoros:payrec.124"
"urn:cite:phoros:places.92","Astypalaia","2","1200","urn:cts:phoros:stele1.year2.hc1:header.5.10","same","19","urn:cite:phoros:payrec.128"
"urn:cite:phoros:places.93","Samothraki","2","1800","urn:cts:phoros:stele1.year2.hc1:header.5.11","same","20","urn:cite:phoros:payrec.129"
"urn:cite:phoros:places.95","Lampsakos","2","7200","urn:cts:phoros:stele1.year2.hc1:header.5.15","same","23","urn:cite:phoros:payrec.132"
"urn:cite:phoros:places.34","Oine in Ikaros","2","780","urn:cts:phoros:stele1.year2.hc1:header.5.17","down","25","urn:cite:phoros:payrec.134"
"urn:cite:phoros:places.34","Oine in Ikaros","2","20","urn:cts:phoros:stele1.year2.hc1:header.6.7","down","26","urn:cite:phoros:payrec.135"
"urn:cite:phoros:places.23","Kolophon","2","1800","urn:cts:phoros:stele1.year2.hc1:header.6.8","same","27","urn:cite:phoros:payrec.136"
"urn:cite:phoros:places.24","Notion","2","200","urn:cts:phoros:stele1.year2.hc1:header.6.9","same","28","urn:cite:phoros:payrec.137"
"urn:cite:phoros:places.25","Diosera","2","100","urn:cts:phoros:stele1.year2.hc1:header.6.10","same","29","urn:cite:phoros:payrec.138"
"urn:cite:phoros:places.4","Ephesos","2","4500","urn:cts:phoros:stele1.year2.hc1:header.6.11","same","30","urn:cite:phoros:payrec.139"
"urn:cite:phoros:places.77","Ios","2","600","urn:cts:phoros:stele1.year2.hc1:header.6.12","same","31","urn:cite:phoros:payrec.140"
"urn:cite:phoros:places.5","Ainos","2","7200","urn:cts:phoros:stele1.year2.hc1:header.6.13","same","32","urn:cite:phoros:payrec.141"
"urn:cite:phoros:places.96","Myndos","2","50","urn:cts:phoros:stele1.year2.hc1:header.6.14","same","33","urn:cite:phoros:payrec.142"
"urn:cite:phoros:places.76","Auliataι Kares","2","50","urn:cts:phoros:stele1.year2.hc1:header.6.15","same","34","urn:cite:phoros:payrec.143"
"urn:cite:phoros:places.46","Karbasyanda","2","100","urn:cts:phoros:stele1.year2.hc1:header.6.16","same","35","urn:cite:phoros:payrec.144"
"urn:cite:phoros:places.32","Maroneia","2","900","urn:cts:phoros:stele1.year2.hc1:header.6.17","same","36","urn:cite:phoros:payrec.145"
"urn:cite:phoros:places.104","Astyra","2","50","urn:cts:phoros:stele1.year2.hc1:header.7.13","same","38","urn:cite:phoros:payrec.147"
"urn:cite:phoros:places.97","Gryneion","2","100","urn:cts:phoros:stele1.year2.hc1:header.7.14","same","39","urn:cite:phoros:payrec.148"
"urn:cite:phoros:places.11","Pitane","2","100","urn:cts:phoros:stele1.year2.hc1:header.7.15","same","40","urn:cite:phoros:payrec.149"
"urn:cite:phoros:places.29","Astakos","2","900","urn:cts:phoros:stele1.year2.hc1:header.7.16","same","41","urn:cite:phoros:payrec.150"
"urn:cite:phoros:places.26","Spartolos","2","1200","urn:cts:phoros:stele1.year2.hc1:header.7.17","same","42","urn:cite:phoros:payrec.151"
"urn:cite:phoros:places.50","Kasolaba","2","250","urn:cts:phoros:stele1.year2.hc1:right.8.13","up","44","urn:cite:phoros:payrec.153"
"urn:cite:phoros:places.14","Sane","2","600","urn:cts:phoros:stele1.year2.hc1:right.8.17","same","48","urn:cite:phoros:payrec.157"
"urn:cite:phoros:places.27","Hairai","2","1800","urn:cts:phoros:stele1.year2.hc1:right.8.18","same","49","urn:cite:phoros:payrec.158"
"urn:cite:phoros:places.30","Neapolis","2","300","urn:cts:phoros:stele1.year2.hc1:right.9.2","down","50","urn:cite:phoros:payrec.159"
"urn:cite:phoros:places.53","Olynthos","2","1200","urn:cts:phoros:stele1.year2.hc1:right.9.3","same","51","urn:cite:phoros:payrec.160"
"urn:cite:phoros:places.57","Mekyberna","2","600","urn:cts:phoros:stele1.year2.hc1:right.9.4","same","52","urn:cite:phoros:payrec.161"
"urn:cite:phoros:places.40","Palepsos","2","900","urn:cts:phoros:stele1.year2.hc1:right.9.6","same","54","urn:cite:phoros:payrec.163"
"urn:cite:phoros:places.44","Klazomenia","2","900","urn:cts:phoros:stele1.year2.hc1:right.9.8","same","56","urn:cite:phoros:payrec.165"
"urn:cite:phoros:places.98","Pelen/Pyli","2","400","urn:cts:phoros:stele1.year2.hc1:right.9.10","same","58","urn:cite:phoros:payrec.167"
"urn:cite:phoros:places.99","Latmos","2","600","urn:cts:phoros:stele1.year2.hc1:right.10.2","same","59","urn:cite:phoros:payrec.168"
"urn:cite:phoros:places.78","Parion","2","600","urn:cts:phoros:stele1.year2.hc1:right.10.3","same","60","urn:cite:phoros:payrec.169"
"urn:cite:phoros:places.66","Boutheia","2","1800","urn:cts:phoros:stele1.year2.hc1:right.10.4","same","61","urn:cite:phoros:payrec.170"
"urn:cite:phoros:places.18","Chersonese","2","10800","urn:cts:phoros:stele1.year2.hc1:right.10.5","same","62","urn:cite:phoros:payrec.171"
"urn:cite:phoros:places.100","Pedasa","2","1200","urn:cts:phoros:stele1.year2.hc1:right.10.6","same","63","urn:cite:phoros:payrec.172"
"urn:cite:phoros:places.101","Priene","2","600","urn:cts:phoros:stele1.year2.hc1:right.10.7","same","64","urn:cite:phoros:payrec.173"
"urn:cite:phoros:places.102","Kindya","2","600","urn:cts:phoros:stele1.year2.hc1:right.10.8","same","65","urn:cite:phoros:payrec.174"
"urn:cite:phoros:places.103","Bargylia","2","100","urn:cts:phoros:stele1.year2.hc1:right.10.9","same","66","urn:cite:phoros:payrec.175"
"urn:cite:phoros:places.42","Diduma Teichos","2","100","urn:cts:phoros:stele1.year2.hc1:right.10.10","same","67","urn:cite:phoros:payrec.176"
"urn:cite:phoros:places.106","Lemnos","3","5400","urn:cts:phoros:stele1.year3.hc1:front.1.2","same","2","urn:cite:phoros:payrec.178"
